"","participant","consent","illness","group","age","sex","education","ethnicity","politics","prop_correct_WCST","mean_RT_WCST","median_RT_WCST","study_purpose","evaluated","interpretation","suspicious","disclosure","data_use","IU_scale.q1","IU_scale.q2","IU_scale.q3","IU_scale.q4","IU_scale.q5","IU_scale.q6","IU_scale.q7","IU_scale.q8","IU_scale.q9","IU_scale.q10","IU_scale.q11","IU_scale.q12","ETMS_1","ETMS_2","ETMS_3","ETMS_4","ETMS_5","ETMS_6","ETMS_7","ETMS_8","ETMS_9","ETMS_10","ETMS_11","ETMS_12","ETMS_13","ETMS_14","ETMS_15","ETMS_16","ETMS_17","ETMS_18","Q1","Q2","Q3"
"1","5e5f4c3f3d604727f7930fc1","1","0","1","47","2","4","other","5","0.777777777777778","2999.06349206349","2549","I think it was about how people react to negative external evaluations and how they affect self-evaluations.","I feel the evaluation may have been tilted in order to affect how people responded to the questions afterwards, but that's just a guess from having been in a few studies (and a psych major). I also freely admit my social intelligence score may be weird too.","It was in the context of a study, so not really sure how I would interpret it without knowing more about who I was being compared with.","I feel 14th percentile was shooting it a bit low.","3","Item 1",2,3,2,1,2,3,2,0,1,1,0,1,3,6,7,1,6,7,7,4,4,4,3,4,3,6,2,2,3,4,7,7,7
"2","615067f6ea79020553718996","1","0","2","55","2","4","7","5","0.841269841269841","2829.38095238095","2239","About how I would respond to difficut social interactions.","Yes, when I was given an average score.","That I conform to perhaps the majority of people.","No","3","Item 1",1,2,4,2,2,1,3,0,0,1,0,1,5,5,5,1,5,5,5,4,1,1,5,1,2,6,2,1,1,3,2,2,2
"3","6395121008c0c636380c67ab","1","0","2","48","2","4","11","2","0.857142857142857","2156.96825396825","2019","my behaviour in social situations","yes - base don my repsonses and behaviour","All good - in fact its good to know","Well - you did ask for demographics - so thee must be some level of bias involved there","1","Item 1",1,1,2,1,1,1,1,1,1,1,1,1,3,5,3,3,5,5,3,3,3,2,5,5,3,5,2,2,3,3,2,2,2
"4","648ccd2afd3b0807d6553e5b","1","0","1","25","2","4","5","5","0.682539682539683","35033","2253","Judging someone's ability to make socially intelligent decisions under pressure.","Yeah, the second word problem scenarios","Wow, I did not know that my social IQ was THAT low, LOL","No","1","Item 1",2,2,4,3,4,3,4,2,2,3,3,3,5,6,6,1,6,6,6,7,1,1,3,3,3,5,4,3,5,4,7,5,6
"5","659e05126d0cca72846d4b06","1","0","2","46","2","3","4","2","0.73015873015873","2647.90476190476","2416","i guess getting my thoughts and views on certain social situations","only when i saw it comparing me to others who have done this test","i was like oh ok, i didnt really know what to expect.....just said i am average pretty much","well you never know as you have to do your best and go along with what is said and go from there","3","Item 1",2,3,2,4,3,2,3,2,1,2,2,1,4,5,3,1,4,5,4,2,1,2,4,2,3,4,2,1,3,2,3,3,2
"6","665df7d58501a55e990b773a","1","0","2","30","2","4","6","5","0.80952380952381","1978.44444444444","1889","The ability to make decisions and maintain confidence. I wouldn't be surprised if the evaluation of the social situations rank was intentionally wrong to cause indecision in me.","Yes, I feel like I was being evaluated both in the card matching game and the social situation decisions.","I was very disappointed with myself. I thought I would do better. It shook my confidence a little bit.","I feel like the feedback from the social decisions was manipulated to cause some sort of indecision or affect my confidence level.","2","Item 1",1,3,3,2,2,1,0,1,0,1,0,0,6,6,4,2,6,7,3,3,2,1,5,2,2,7,2,2,2,2,2,6,2
"7","6675e405beeb415d60578306","1","0","1","42","1","4","4","1","0.761904761904762","2539.96825396825","2415","A study to understand how people respond to various social scenarios and how they see themselves, particularly in light of insights  as to their behaviour compared to that of the majority.","I felt that the part where I answered social scenario questions giving my probably response was being evaluated and judged against what others would do.","It was interesting, though it didn't surprise me. I also considered perhaps everyone was told they are a bit socially awkward (though not in those words) to see how they would respond to that. In my case, I do feel it was probably an accurate assessment.","Yes, I did have a sense that perhaps the feedback being given was telling everyone the same thing (suggesting a degree of social helplessness) or alternatively that maybe everyone was given feedback but it was somehow randomised and not based on their responses to the social scenario questions at all. I'm not sure why I thought this but I guess I assumed a lot of people feel a bit out of their depth in social situations so many would just assume they would score poorly and it would not arouse suspicion.","1","Item 1",2,3,3,3,2,3,3,3,4,3,4,3,1,3,6,5,5,5,6,6,6,5,2,6,7,6,6,6,7,7,7,5,7
"8","674655eae47585f96dc1cfbb","1","0","2","64","1","4","4","2","0.634920634920635","3089.69841269841","2916","The individuals ability to make decisions using information they have been given","to a degree I did, but in the end I decided it was much better to simply 'go with my gut'.","I was very interested to see how I oerformwed and will certainly take on board the comments","no I thought it was entirely performance baased","3","Item 1",4,3,3,4,3,3,3,2,1,1,0,1,3,5,2,1,5,5,6,4,5,6,0,6,6,2,5,6,6,1,4,3,2
"9","681ae31bd94a34a104d5e66f","1","0","2","70","1","2","4","5","0.714285714285714","2871.8253968254","2768","Reactioin toi feedback about performance and social cues","It felt like all the study was evaluatioin","I was surprised","The card game wasn't logicial most of the time.  The social cue questions felt generic and I was surprised by the result","3","Item 1",1,1,2,1,0,1,2,0,0,0,0,0,2,5,2,1,2,5,1,1,1,1,2,1,1,6,2,2,1,2,3,5,3
"10","6972703f26e497fadbfae9e4","1","0","2","35","2","3","4","1","0.476190476190476","2732.74603174603","2368","Social intelligence","Yes, but it could be fake.","That I was average in social intelligence.","Yes, strong possibility this is set up to be fake to gauge my reaction.","1","Item 1",2,2,2,2,2,2,2,2,1,1,1,1,5,5,3,2,4,5,3,3,5,2,4,2,2,6,3,2,3,3,2,2,2
"11","69ca0d6c15320ea8c68b3f67","1","0","2","47","2","2","6","3","0.555555555555556","3118.44444444444","2528","How we react to certain news?","Yes, I felt evaluated when I was choosing the color, shape, number.","I didn't take it well. I was hoping it was a lie and part of the study.","Yes, I thought it might be untruthful, and I really knew it was untruthful after the next set of questions.","2","Item 1",4,4,4,3,2,4,4,1,2,3,3,2,5,5,5,5,5,6,6,7,2,3,6,3,1,4,7,3,5,3,1,5,1
"12","69e70ad14a211f6a908d46e1","1","0","2","27","2","2","6","2","0.698412698412698","3597.50793650794","2037","Our reaction to physical and social cues how we intepret and express ourselves in different enviroment.","Yes","I don't really care that much, when answering the question i was always thinking of a fifth option that wasnt there. Ex: for exemple  in the name scenario, why not just say, my bad wasn't paying attention when you said it.","no","1","Item 1",0,3,3,0,0,1,0,0,0,0,1,0,2,4,6,1,3,4,5,1,2,1,5,1,4,7,1,1,1,1,4,2,2
"13","69f2ebab9cf068bfc6cf3fda","1","0","1","58","2","4","5","5","0.682539682539683","3642.09523809524","2833","People with different personality  how to react to different social situations","Yes. I was evaluated  for my performance","I don't really care and it doesn't bother me much","n/a","2","Item 1",2,1,2,1,0,1,2,1,1,1,1,1,1,4,5,5,4,5,5,3,3,2,2,6,0,5,4,5,3,4,4,3,3
"14","69f73386e1cc43e75539494f","1","0","2","21","2","3","11","5","0.682539682539683","3572.88888888889","3333","Gauging intelligence of people with a quiz then finding the avg. percentile for each user. Making the user aware of the percentile they were placed in and setting up a list of social perception questions to see if it has any negative or positive reaction to it.","Everyone's social perception is hard to compare and not a fair reason to be evaluated without knowing someone's background. However, the quiz can test intelligence.","Neutral. I made some mistakes during the quiz but it became pattern recognition when you try to remember the instructions.","I wanted to see if getting an error in the quiz would affect any outcome.","1","Item 1",2,3,2,3,1,2,4,3,2,2,1,2,3,6,5,3,5,6,5,4,2,1,7,6,5,5,3,2,4,3,4,3,4
"15","6a0565877e9012576988c07e","1","0","2","36","1","4","6","2","0.682539682539683","2702.11111111111","2229","Perception of yourself based on feedback from others","Not specifically","That I was an average performer","I am now based on the questions I am getting asked.","1","Item 1",0,2,1,0,4,4,2,0,0,1,0,0,2,6,4,1,5,4,4,3,3,3,3,2,2,5,2,2,4,3,2,2,2
