Participant_Info_Consent.block_1/Consent,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,dissent.started,dissent.stopped,Exclusion_Criteria_1.block_1/Mental_health_conditions,exclusion.started,exclusion.stopped,GroupAllocation.started,GroupAllocation.stopped,group,survey_demographics_IU.block_1/Sex,survey_demographics_IU.block_1/Age,survey_demographics_IU.block_1/Education,survey_demographics_IU.block_1/Ethnicity,survey_demographics_IU.block_1/Politics,survey_demographics_IU.block_1/IU_scale.q1,survey_demographics_IU.block_1/IU_scale.q2,survey_demographics_IU.block_1/IU_scale.q3,survey_demographics_IU.block_1/IU_scale.q4,survey_demographics_IU.block_1/IU_scale.q5,survey_demographics_IU.block_1/IU_scale.q6,survey_demographics_IU.block_1/IU_scale.q7,survey_demographics_IU.block_1/IU_scale.q8,survey_demographics_IU.block_1/IU_scale.q9,survey_demographics_IU.block_1/IU_scale.q10,survey_demographics_IU.block_1/IU_scale.q11,survey_demographics_IU.block_1/IU_scale.q12,Instructions.started,Instructions.stopped,Example.started,Example.stopped,Trials.started,Trials.stopped,Score,RT,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.clicked_name,Feedback.started,Feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,rule,card,corrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,useRows,Scenarios.block_1/Expert Panel,Scenarios.block_1/Team Tension,Scenarios.block_1/Networking Gaffe,Scenarios.block_1/Viral Oversight,Scenarios.block_1/question16,ProgressBar.started,ProgressBar.stopped,feedback_50.started,feedback_50.stopped,press_spacebar_2.keys,press_spacebar_2.rt,press_spacebar_2.duration,show_feeback_hi.thisRepN,show_feeback_hi.thisTrialN,show_feeback_hi.thisN,show_feeback_hi.thisIndex,show_feeback_hi.ran,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_1,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_2,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_3,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_4,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_5,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_6,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_7,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_8,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_9,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_10,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_11,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_12,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_13,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_14,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_15,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_16,ETMS_survey_end.block_1/Epistemic Trust Mistrust.Row 17,ETMS_survey_end.block_1/Epistemic Trust Mistrust.Row 18,ETMS_survey_end.block_1/Feedback check.Q1,ETMS_survey_end.block_1/Feedback check.Q2,ETMS_survey_end.block_1/Feedback check.Q3,ETMS_survey_end.block_1/StudyPurpose,ETMS_survey_end.block_1/WereYouEvaluated,ETMS_survey_end.block_1/Feedback_interpretation,ETMS_survey_end.block_1/Suspicious,ETMS_survey_end.block_1/Disclosure,ETMS_survey_end.block_1/Data use,End.started,End.stopped
1,{{PROLIFIC_ID}},001,2026-09-07_10h14.02.510,Reading the Room,2026.1.3,MacIntel,60.24096386,659e05126d0cca72846d4b06,6a8d07dd262e1077153a9ddf,6a9e00ae5d1bacaeb193f7b5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},001,2026-09-07_10h14.02.510,Reading the Room,2026.1.3,MacIntel,60.24096386,659e05126d0cca72846d4b06,6a8d07dd262e1077153a9ddf,6a9e00ae5d1bacaeb193f7b5,7.066,7.0738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},001,2026-09-07_10h14.02.510,Reading the Room,2026.1.3,MacIntel,60.24096386,659e05126d0cca72846d4b06,6a8d07dd262e1077153a9ddf,6a9e00ae5d1bacaeb193f7b5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},001,2026-09-07_10h14.02.510,Reading the Room,2026.1.3,MacIntel,60.24096386,659e05126d0cca72846d4b06,6a8d07dd262e1077153a9ddf,6a9e00ae5d1bacaeb193f7b5,,,,10.8997,10.9006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},3,2026-09-07_10h14.02.510,Reading the Room,2026.1.3,MacIntel,60.24096386,659e05126d0cca72846d4b06,6a8d07dd262e1077153a9ddf,6a9e00ae5d1bacaeb193f7b5,,,,,,11.7299,11.73,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},3,2026-09-07_10h14.02.510,Reading the Room,2026.1.3,MacIntel,60.24096386,659e05126d0cca72846d4b06,6a8d07dd262e1077153a9ddf,6a9e00ae5d1bacaeb193f7b5,,,,,,,,2,2,46,3,4,2,2,3,2,4,3,2,3,2,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},3,2026-09-07_10h14.02.510,Reading the Room,2026.1.3,MacIntel,60.24096386,659e05126d0cca72846d4b06,6a8d07dd262e1077153a9ddf,6a9e00ae5d1bacaeb193f7b5,,,,,,,,2,,,,,,,,,,,,,,,,,,91.1974,108.4453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},3,2026-09-07_10h14.02.510,Reading the Room,2026.1.3,MacIntel,60.24096386,659e05126d0cca72846d4b06,6a8d07dd262e1077153a9ddf,6a9e00ae5d1bacaeb193f7b5,,,,,,,,2,,,,,,,,,,,,,,,,,,,,108.4454,129.8619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},3,2026-09-07_10h14.02.510,Reading the Room,2026.1.3,MacIntel,60.24096386,659e05126d0cca72846d4b06,6a8d07dd262e1077153a9ddf,6a9e00ae5d1bacaeb193f7b5,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,129.8774,135.3619,0,5484,-0.344495443,0.234788411,1,0,0,,135.3621,136.3619,0,0,0,33,1,number,images/3blueDots.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},3,2026-09-07_10h14.02.510,Reading the Room,2026.1.3,MacIntel,60.24096386,659e05126d0cca72846d4b06,6a8d07dd262e1077153a9ddf,6a9e00ae5d1bacaeb193f7b5,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,136.3625,138.5951,1,2233,0.358138021,0.280745443,1,0,0,four_blue_stars,138.5954,139.595,0,1,1,56,1,number,images/4redCrosses.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},3,2026-09-07_10h14.02.510,Reading the Room,2026.1.3,MacIntel,60.24096386,659e05126d0cca72846d4b06,6a8d07dd262e1077153a9ddf,6a9e00ae5d1bacaeb193f7b5,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,139.5952,141.7784,1,2183,-0.135328776,0.218710938,1,0,0,two_yellow_triangles,141.7785,142.7785,0,2,2,21,1,number,images/2greenDots.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
