Participant_Info_Consent.block_1/Consent,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,dissent.started,dissent.stopped,Exclusion_Criteria_1.block_1/Mental_health_conditions,exclusion.started,exclusion.stopped,GroupAllocation.started,GroupAllocation.stopped,group,survey_demographics_IU.block_1/Sex,survey_demographics_IU.block_1/Age,survey_demographics_IU.block_1/Education,survey_demographics_IU.block_1/Ethnicity,survey_demographics_IU.block_1/Politics,survey_demographics_IU.block_1/IU_scale.q1,survey_demographics_IU.block_1/IU_scale.q2,survey_demographics_IU.block_1/IU_scale.q3,survey_demographics_IU.block_1/IU_scale.q4,survey_demographics_IU.block_1/IU_scale.q5,survey_demographics_IU.block_1/IU_scale.q6,survey_demographics_IU.block_1/IU_scale.q7,survey_demographics_IU.block_1/IU_scale.q8,survey_demographics_IU.block_1/IU_scale.q9,survey_demographics_IU.block_1/IU_scale.q10,survey_demographics_IU.block_1/IU_scale.q11,survey_demographics_IU.block_1/IU_scale.q12,Instructions.started,Instructions.stopped,Example.started,Example.stopped,Trials.started,Trials.stopped,Score,RT,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.clicked_name,Feedback.started,Feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,rule,card,corrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,useRows,Scenarios.block_1/Expert Panel,Scenarios.block_1/Team Tension,Scenarios.block_1/Networking Gaffe,Scenarios.block_1/Viral Oversight,Scenarios.block_1/question16,ProgressBar.started,ProgressBar.stopped,feedback_50.started,feedback_50.stopped,press_spacebar_2.keys,press_spacebar_2.rt,press_spacebar_2.duration,show_feeback_hi.thisRepN,show_feeback_hi.thisTrialN,show_feeback_hi.thisN,show_feeback_hi.thisIndex,show_feeback_hi.ran,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_1,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_2,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_3,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_4,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_5,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_6,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_7,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_8,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_9,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_10,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_11,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_12,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_13,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_14,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_15,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_16,ETMS_survey_end.block_1/Epistemic Trust Mistrust.Row 17,ETMS_survey_end.block_1/Epistemic Trust Mistrust.Row 18,ETMS_survey_end.block_1/Feedback check.Q1,ETMS_survey_end.block_1/Feedback check.Q2,ETMS_survey_end.block_1/Feedback check.Q3,ETMS_survey_end.block_1/StudyPurpose,ETMS_survey_end.block_1/WereYouEvaluated,ETMS_survey_end.block_1/Feedback_interpretation,ETMS_survey_end.block_1/Suspicious,ETMS_survey_end.block_1/Disclosure,ETMS_survey_end.block_1/Data use,End.started,End.stopped
1,6a0e5c7412f8cf1025c8991a,001,2026-09-06_21h17.58.259,Reading the Room,2026.1.3,MacIntel,59.88023952,6a0e5c7412f8cf1025c8991a,6a8d07dd262e1077153a9ddf,6a9e05b1659484b5f193f781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a0e5c7412f8cf1025c8991a,001,2026-09-06_21h17.58.259,Reading the Room,2026.1.3,MacIntel,59.88023952,6a0e5c7412f8cf1025c8991a,6a8d07dd262e1077153a9ddf,6a9e05b1659484b5f193f781,16.0877,16.0894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a0e5c7412f8cf1025c8991a,001,2026-09-06_21h17.58.259,Reading the Room,2026.1.3,MacIntel,59.88023952,6a0e5c7412f8cf1025c8991a,6a8d07dd262e1077153a9ddf,6a9e05b1659484b5f193f781,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a0e5c7412f8cf1025c8991a,001,2026-09-06_21h17.58.259,Reading the Room,2026.1.3,MacIntel,59.88023952,6a0e5c7412f8cf1025c8991a,6a8d07dd262e1077153a9ddf,6a9e05b1659484b5f193f781,,,,19.4845,19.4862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a0e5c7412f8cf1025c8991a,11,2026-09-06_21h17.58.259,Reading the Room,2026.1.3,MacIntel,59.88023952,6a0e5c7412f8cf1025c8991a,6a8d07dd262e1077153a9ddf,6a9e05b1659484b5f193f781,,,,,,19.9813,19.9816,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a0e5c7412f8cf1025c8991a,11,2026-09-06_21h17.58.259,Reading the Room,2026.1.3,MacIntel,59.88023952,6a0e5c7412f8cf1025c8991a,6a8d07dd262e1077153a9ddf,6a9e05b1659484b5f193f781,,,,,,,,2,1,29,4,6,3,2,3,1,0,1,0,0,1,2,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a0e5c7412f8cf1025c8991a,11,2026-09-06_21h17.58.259,Reading the Room,2026.1.3,MacIntel,59.88023952,6a0e5c7412f8cf1025c8991a,6a8d07dd262e1077153a9ddf,6a9e05b1659484b5f193f781,,,,,,,,2,,,,,,,,,,,,,,,,,,80.1087,84.5548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a0e5c7412f8cf1025c8991a,11,2026-09-06_21h17.58.259,Reading the Room,2026.1.3,MacIntel,59.88023952,6a0e5c7412f8cf1025c8991a,6a8d07dd262e1077153a9ddf,6a9e05b1659484b5f193f781,,,,,,,,2,,,,,,,,,,,,,,,,,,,,84.555,86.0883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a0e5c7412f8cf1025c8991a,11,2026-09-06_21h17.58.259,Reading the Room,2026.1.3,MacIntel,59.88023952,6a0e5c7412f8cf1025c8991a,6a8d07dd262e1077153a9ddf,6a9e05b1659484b5f193f781,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,86.1125,89.5556,1,3443,0.166471761,0.214242554,1,0,0,three_green_crosses,89.5557,90.5551,0,0,0,40,1,number,images/3redCrosses.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a0e5c7412f8cf1025c8991a,11,2026-09-06_21h17.58.259,Reading the Room,2026.1.3,MacIntel,59.88023952,6a0e5c7412f8cf1025c8991a,6a8d07dd262e1077153a9ddf,6a9e05b1659484b5f193f781,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,90.5556,92.7057,0,2150,0.361177165,0.197981839,1,0,0,four_blue_stars,92.7061,93.7058,0,1,1,34,1,number,images/3blueStars.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a0e5c7412f8cf1025c8991a,11,2026-09-06_21h17.58.259,Reading the Room,2026.1.3,MacIntel,59.88023952,6a0e5c7412f8cf1025c8991a,6a8d07dd262e1077153a9ddf,6a9e05b1659484b5f193f781,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,93.7063,99.1898,1,5484,0.085323758,0.258541209,1,0,0,three_green_crosses,99.1903,100.1894,0,2,2,35,1,number,images/3blueTriangles.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a0e5c7412f8cf1025c8991a,11,2026-09-06_21h17.58.259,Reading the Room,2026.1.3,MacIntel,59.88023952,6a0e5c7412f8cf1025c8991a,6a8d07dd262e1077153a9ddf,6a9e05b1659484b5f193f781,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,100.1897,104.4397,1,4250,0.383696967,0.235104506,1,0,0,four_blue_stars,104.4398,105.4392,0,3,3,59,1,number,images/4redTriangles.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a0e5c7412f8cf1025c8991a,11,2026-09-06_21h17.58.259,Reading the Room,2026.1.3,MacIntel,59.88023952,6a0e5c7412f8cf1025c8991a,6a8d07dd262e1077153a9ddf,6a9e05b1659484b5f193f781,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,105.4395,115.5574,1,10118,-0.059636163,0.246358609,1,0,0,two_yellow_triangles,115.5575,116.5572,0,4,4,28,1,number,images/2yellowCrosses.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a0e5c7412f8cf1025c8991a,11,2026-09-06_21h17.58.259,Reading the Room,2026.1.3,MacIntel,59.88023952,6a0e5c7412f8cf1025c8991a,6a8d07dd262e1077153a9ddf,6a9e05b1659484b5f193f781,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,116.5575,120.6077,1,4050,-0.40236067,0.232136417,1,0,0,one_red_dot,120.6078,121.6075,0,5,5,0,1,number,images/1blueCross.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a0e5c7412f8cf1025c8991a,11,2026-09-06_21h17.58.259,Reading the Room,2026.1.3,MacIntel,59.88023952,6a0e5c7412f8cf1025c8991a,6a8d07dd262e1077153a9ddf,6a9e05b1659484b5f193f781,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,121.6078,124.3081,1,2700,-0.105268216,0.326453196,1,0,0,two_yellow_triangles,124.3082,125.3067,0,6,6,18,1,number,images/2blueStars.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a0e5c7412f8cf1025c8991a,11,2026-09-06_21h17.58.259,Reading the Room,2026.1.3,MacIntel,59.88023952,6a0e5c7412f8cf1025c8991a,6a8d07dd262e1077153a9ddf,6a9e05b1659484b5f193f781,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,64:128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a0e5c7412f8cf1025c8991a,11,2026-09-06_21h17.58.259,Reading the Room,2026.1.3,MacIntel,59.88023952,6a0e5c7412f8cf1025c8991a,6a8d07dd262e1077153a9ddf,6a9e05b1659484b5f193f781,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,125.3145,128.5073,0,3193,0.177027113,0.246621908,1,0,0,three_green_crosses,128.508,129.5081,0,0,0,32,1,colour,images/3blueCrosses.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a0e5c7412f8cf1025c8991a,11,2026-09-06_21h17.58.259,Reading the Room,2026.1.3,MacIntel,59.88023952,6a0e5c7412f8cf1025c8991a,6a8d07dd262e1077153a9ddf,6a9e05b1659484b5f193f781,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,129.5086,132.2072,1,2699,-0.137490167,0.249463586,1,0,0,two_yellow_triangles,132.2075,133.2072,0,1,1,29,1,colour,images/2yellowDots.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a0e5c7412f8cf1025c8991a,11,2026-09-06_21h17.58.259,Reading the Room,2026.1.3,MacIntel,59.88023952,6a0e5c7412f8cf1025c8991a,6a8d07dd262e1077153a9ddf,6a9e05b1659484b5f193f781,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,133.2076,140.3089,1,7101,0.400917562,0.221213379,1,0,0,four_blue_stars,140.3091,141.3083,0,2,2,0,1,colour,images/1blueCross.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a0e5c7412f8cf1025c8991a,11,2026-09-06_21h17.58.259,Reading the Room,2026.1.3,MacIntel,59.88023952,6a0e5c7412f8cf1025c8991a,6a8d07dd262e1077153a9ddf,6a9e05b1659484b5f193f781,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,141.3086,149.8429,1,8534,0.358719347,0.207389119,1,0,0,four_blue_stars,149.8429,150.8428,0,3,3,34,1,colour,images/3blueStars.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a0e5c7412f8cf1025c8991a,11,2026-09-06_21h17.58.259,Reading the Room,2026.1.3,MacIntel,59.88023952,6a0e5c7412f8cf1025c8991a,6a8d07dd262e1077153a9ddf,6a9e05b1659484b5f193f781,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,150.843,152.892,1,2049,-0.124170261,0.215547689,1,0,0,two_yellow_triangles,152.8921,153.8932,0,4,4,31,1,colour,images/2yellowTriangles.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a0e5c7412f8cf1025c8991a,11,2026-09-06_21h17.58.259,Reading the Room,2026.1.3,MacIntel,59.88023952,6a0e5c7412f8cf1025c8991a,6a8d07dd262e1077153a9ddf,6a9e05b1659484b5f193f781,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,153.8935,156.8102,1,2917,-0.361917284,0.254981096,1,0,0,one_red_dot,156.8103,157.8099,0,5,5,41,1,colour,images/3redDots.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a0e5c7412f8cf1025c8991a,11,2026-09-06_21h17.58.259,Reading the Room,2026.1.3,MacIntel,59.88023952,6a0e5c7412f8cf1025c8991a,6a8d07dd262e1077153a9ddf,6a9e05b1659484b5f193f781,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,157.8102,161.677,0,3867,0.172179091,0.2411999,1,0,0,three_green_crosses,161.6775,162.6763,0,6,6,35,1,colour,images/3blueTriangles.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
