Participant_Info_Consent.block_1/Consent,participant,session,STUDY_ID,date,expName,psychopyVersion,OS,frameRate,dissent.started,dissent.stopped,Exclusion_Criteria_1.block_1/Mental_health_conditions,exclusion.started,exclusion.stopped,GroupAllocation.started,GroupAllocation.stopped,group,survey_demographics_IU.block_1/Sex,survey_demographics_IU.block_1/Age,survey_demographics_IU.block_1/Education,survey_demographics_IU.block_1/Ethnicity,survey_demographics_IU.block_1/Politics,survey_demographics_IU.block_1/IU_scale.q1,survey_demographics_IU.block_1/IU_scale.q2,survey_demographics_IU.block_1/IU_scale.q3,survey_demographics_IU.block_1/IU_scale.q4,survey_demographics_IU.block_1/IU_scale.q5,survey_demographics_IU.block_1/IU_scale.q6,survey_demographics_IU.block_1/IU_scale.q7,survey_demographics_IU.block_1/IU_scale.q8,survey_demographics_IU.block_1/IU_scale.q9,survey_demographics_IU.block_1/IU_scale.q10,survey_demographics_IU.block_1/IU_scale.q11,survey_demographics_IU.block_1/IU_scale.q12,Instructions.started,Instructions.stopped,Example.started,Example.stopped,Trials.started,Trials.stopped,Score,RT,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.clicked_name,Feedback.started,Feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,rule,card,corrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,useRows,Scenarios.block_1/Expert Panel,Scenarios.block_1/Team Tension,Scenarios.block_1/Networking Gaffe,Scenarios.block_1/Viral Oversight,Scenarios.block_1/question16,ProgressBar.started,ProgressBar.stopped,feedback_50.started,feedback_50.stopped,press_spacebar_2.keys,press_spacebar_2.rt,press_spacebar_2.duration,show_feeback_hi.thisRepN,show_feeback_hi.thisTrialN,show_feeback_hi.thisN,show_feeback_hi.thisIndex,show_feeback_hi.ran,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_1,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_2,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_3,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_4,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_5,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_6,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_7,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_8,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_9,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_10,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_11,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_12,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_13,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_14,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_15,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_16,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_17,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_18,ETMS_survey_end.block_1/Feedback check.Q1,ETMS_survey_end.block_1/Feedback check.Q2,ETMS_survey_end.block_1/Feedback check.Q3,ETMS_survey_end.block_1/StudyPurpose,ETMS_survey_end.block_1/WereYouEvaluated,ETMS_survey_end.block_1/Feedback_interpretation,ETMS_survey_end.block_1/Suspicious,ETMS_survey_end.block_1/Disclosure,ETMS_survey_end.block_1/Data use,End.started,End.stopped
1,5bdc076eee652a0001efcc39,6aa22d3182ad92727cadb9eb,6aa09bb296af1050f055ee3b,2026-09-10_13h39.26.533,Reading the Room,2026.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5bdc076eee652a0001efcc39,6aa22d3182ad92727cadb9eb,6aa09bb296af1050f055ee3b,2026-09-10_13h39.26.533,Reading the Room,2026.1.3,Win32,59.17159763,26.439,26.4583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5bdc076eee652a0001efcc39,6aa22d3182ad92727cadb9eb,6aa09bb296af1050f055ee3b,2026-09-10_13h39.26.533,Reading the Room,2026.1.3,Win32,59.17159763,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5bdc076eee652a0001efcc39,6aa22d3182ad92727cadb9eb,6aa09bb296af1050f055ee3b,2026-09-10_13h39.26.533,Reading the Room,2026.1.3,Win32,59.17159763,,,,30.2354,30.2404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5bdc076eee652a0001efcc39,57,6aa09bb296af1050f055ee3b,2026-09-10_13h39.26.533,Reading the Room,2026.1.3,Win32,59.17159763,,,,,,31.2577,31.2579,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5bdc076eee652a0001efcc39,57,6aa09bb296af1050f055ee3b,2026-09-10_13h39.26.533,Reading the Room,2026.1.3,Win32,59.17159763,,,,,,,,2,1,27,1,4,5,4,3,3,3,4,4,4,3,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5bdc076eee652a0001efcc39,57,6aa09bb296af1050f055ee3b,2026-09-10_13h39.26.533,Reading the Room,2026.1.3,Win32,59.17159763,,,,,,,,2,,,,,,,,,,,,,,,,,,123.9131,147.5261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5bdc076eee652a0001efcc39,57,6aa09bb296af1050f055ee3b,2026-09-10_13h39.26.533,Reading the Room,2026.1.3,Win32,59.17159763,,,,,,,,2,,,,,,,,,,,,,,,,,,,,147.5262,175.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5bdc076eee652a0001efcc39,57,6aa09bb296af1050f055ee3b,2026-09-10_13h39.26.533,Reading the Room,2026.1.3,Win32,59.17159763,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,175.6225,184.8811,0,9258,-0.35462963,0.182407407,1,0,0,one_red_dot,184.8816,185.8813,0,0,0,43,1,number,images/3redTriangles.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5bdc076eee652a0001efcc39,57,6aa09bb296af1050f055ee3b,2026-09-10_13h39.26.533,Reading the Room,2026.1.3,Win32,59.17159763,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,185.8821,191.9963,0,6114,0.113888889,0.266666667,1,0,0,three_green_crosses,191.9965,192.9967,0,1,1,15,1,number,images/1yellowTriangle.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5bdc076eee652a0001efcc39,57,6aa09bb296af1050f055ee3b,2026-09-10_13h39.26.533,Reading the Room,2026.1.3,Win32,59.17159763,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,192.9975,197.4456,0,4448,0.093518519,0.167592593,1,0,0,three_green_crosses,197.4458,198.4457,0,2,2,22,1,number,images/2greenStars.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5bdc076eee652a0001efcc39,57,6aa09bb296af1050f055ee3b,2026-09-10_13h39.26.533,Reading the Room,2026.1.3,Win32,59.17159763,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,198.4466,201.6783,1,3232,-0.085185185,0.215740741,1,0,0,two_yellow_triangles,201.679,202.6786,0,3,3,20,1,number,images/2greenCrosses.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5bdc076eee652a0001efcc39,57,6aa09bb296af1050f055ee3b,2026-09-10_13h39.26.533,Reading the Room,2026.1.3,Win32,59.17159763,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,202.6795,204.5947,0,1916,-0.085185185,0.215740741,1,0,0,two_yellow_triangles,204.5953,205.595,0,4,4,39,1,number,images/3greenTriangles.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5bdc076eee652a0001efcc39,57,6aa09bb296af1050f055ee3b,2026-09-10_13h39.26.533,Reading the Room,2026.1.3,Win32,59.17159763,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,205.5958,211.1278,0,5532,0.177777778,0.215740741,1,0,0,three_green_crosses,211.1281,212.1275,0,5,5,48,1,number,images/4blueCrosses.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5bdc076eee652a0001efcc39,57,6aa09bb296af1050f055ee3b,2026-09-10_13h39.26.533,Reading the Room,2026.1.3,Win32,59.17159763,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,212.1283,230.8915,0,18764,-0.087037037,0.210185185,1,0,0,two_yellow_triangles,230.8917,231.8916,0,6,6,36,1,number,images/3greenCrosses.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5bdc076eee652a0001efcc39,57,6aa09bb296af1050f055ee3b,2026-09-10_13h39.26.533,Reading the Room,2026.1.3,Win32,59.17159763,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,64:128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5bdc076eee652a0001efcc39,57,6aa09bb296af1050f055ee3b,2026-09-10_13h39.26.533,Reading the Room,2026.1.3,Win32,59.17159763,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,231.9006,237.8572,0,5957,0.088888889,0.184259259,1,0,0,three_green_crosses,237.8574,238.8571,0,0,0,49,1,shape,images/4blueDots.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5bdc076eee652a0001efcc39,57,6aa09bb296af1050f055ee3b,2026-09-10_13h39.26.533,Reading the Room,2026.1.3,Win32,59.17159763,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,238.8579,242.0067,0,3149,0.088888889,0.184259259,1,0,0,three_green_crosses,242.0068,243.0069,0,1,1,34,1,shape,images/3blueStars.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5bdc076eee652a0001efcc39,57,6aa09bb296af1050f055ee3b,2026-09-10_13h39.26.533,Reading the Room,2026.1.3,Win32,59.17159763,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,243.0076,245.9728,0,2965,-0.294444444,0.187962963,1,0,0,one_red_dot,245.9728,246.973,0,2,2,7,1,shape,images/1greenTriangle.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5bdc076eee652a0001efcc39,57,6aa09bb296af1050f055ee3b,2026-09-10_13h39.26.533,Reading the Room,2026.1.3,Win32,59.17159763,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,246.9739,250.6555,1,3682,0.048148148,0.262037037,1,0,0,three_green_crosses,250.6559,251.6557,0,3,3,48,1,shape,images/4blueCrosses.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5bdc076eee652a0001efcc39,57,6aa09bb296af1050f055ee3b,2026-09-10_13h39.26.533,Reading the Room,2026.1.3,Win32,59.17159763,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,251.6566,253.805,1,2149,0.362037037,0.197222222,1,0,0,four_blue_stars,253.8051,254.8054,0,4,4,42,1,shape,images/3redStars.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5bdc076eee652a0001efcc39,57,6aa09bb296af1050f055ee3b,2026-09-10_13h39.26.533,Reading the Room,2026.1.3,Win32,59.17159763,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,254.8061,256.9384,1,2132,0.383333333,0.218518519,1,0,0,four_blue_stars,256.9387,257.9381,0,5,5,46,1,shape,images/3yellowStars.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5bdc076eee652a0001efcc39,57,6aa09bb296af1050f055ee3b,2026-09-10_13h39.26.533,Reading the Room,2026.1.3,Win32,59.17159763,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,257.9389,260.9709,1,3032,0.351851852,0.199074074,1,0,0,four_blue_stars,260.9711,261.971,0,6,6,10,1,shape,images/1redStar.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5bdc076eee652a0001efcc39,57,6aa09bb296af1050f055ee3b,2026-09-10_13h39.26.533,Reading the Room,2026.1.3,Win32,59.17159763,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,1,128:192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
