Participant_Info_Consent.block_1/Consent,participant,session,STUDY_ID,date,expName,psychopyVersion,OS,frameRate,dissent.started,dissent.stopped,Exclusion_Criteria_1.block_1/Mental_health_conditions,exclusion.started,exclusion.stopped,GroupAllocation.started,GroupAllocation.stopped,group,survey_demographics_IU.block_1/Sex,survey_demographics_IU.block_1/Age,survey_demographics_IU.block_1/Education,survey_demographics_IU.block_1/Ethnicity,survey_demographics_IU.block_1/Politics,survey_demographics_IU.block_1/IU_scale.q1,survey_demographics_IU.block_1/IU_scale.q2,survey_demographics_IU.block_1/IU_scale.q3,survey_demographics_IU.block_1/IU_scale.q4,survey_demographics_IU.block_1/IU_scale.q5,survey_demographics_IU.block_1/IU_scale.q6,survey_demographics_IU.block_1/IU_scale.q7,survey_demographics_IU.block_1/IU_scale.q8,survey_demographics_IU.block_1/IU_scale.q9,survey_demographics_IU.block_1/IU_scale.q10,survey_demographics_IU.block_1/IU_scale.q11,survey_demographics_IU.block_1/IU_scale.q12,Instructions.started,Instructions.stopped,Example.started,Example.stopped,Trials.started,Trials.stopped,Score,RT,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.clicked_name,Feedback.started,Feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,rule,card,corrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,useRows,Scenarios.block_1/Expert Panel,Scenarios.block_1/Team Tension,Scenarios.block_1/Networking Gaffe,Scenarios.block_1/Viral Oversight,Scenarios.block_1/question16,ProgressBar.started,ProgressBar.stopped,feedback_50.started,feedback_50.stopped,press_spacebar_2.keys,press_spacebar_2.rt,press_spacebar_2.duration,show_feeback_hi.thisRepN,show_feeback_hi.thisTrialN,show_feeback_hi.thisN,show_feeback_hi.thisIndex,show_feeback_hi.ran,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_1,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_2,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_3,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_4,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_5,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_6,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_7,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_8,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_9,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_10,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_11,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_12,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_13,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_14,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_15,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_16,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_17,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_18,ETMS_survey_end.block_1/Feedback check.Q1,ETMS_survey_end.block_1/Feedback check.Q2,ETMS_survey_end.block_1/Feedback check.Q3,ETMS_survey_end.block_1/StudyPurpose,ETMS_survey_end.block_1/WereYouEvaluated,ETMS_survey_end.block_1/Feedback_interpretation,ETMS_survey_end.block_1/Suspicious,ETMS_survey_end.block_1/Disclosure,ETMS_survey_end.block_1/Data use,End.started,End.stopped
1,60a10d794573304f9e614e3f,6aa22d296ced87fdea6b6bda,6aa09bb296af1050f055ee3b,2026-09-10_14h09.07.359,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60a10d794573304f9e614e3f,6aa22d296ced87fdea6b6bda,6aa09bb296af1050f055ee3b,2026-09-10_14h09.07.359,Reading the Room,2026.1.3,Win32,59.52380952,62.9322,62.9488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60a10d794573304f9e614e3f,6aa22d296ced87fdea6b6bda,6aa09bb296af1050f055ee3b,2026-09-10_14h09.07.359,Reading the Room,2026.1.3,Win32,59.52380952,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60a10d794573304f9e614e3f,6aa22d296ced87fdea6b6bda,6aa09bb296af1050f055ee3b,2026-09-10_14h09.07.359,Reading the Room,2026.1.3,Win32,59.52380952,,,,70.3288,70.3304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60a10d794573304f9e614e3f,57,6aa09bb296af1050f055ee3b,2026-09-10_14h09.07.359,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,71.2436,71.2437,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60a10d794573304f9e614e3f,57,6aa09bb296af1050f055ee3b,2026-09-10_14h09.07.359,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,2,1,76,3,4,5,1,4,3,2,2,2,3,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60a10d794573304f9e614e3f,57,6aa09bb296af1050f055ee3b,2026-09-10_14h09.07.359,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,2,,,,,,,,,,,,,,,,,,189.271,225.1858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60a10d794573304f9e614e3f,57,6aa09bb296af1050f055ee3b,2026-09-10_14h09.07.359,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,225.1858,277.0288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60a10d794573304f9e614e3f,57,6aa09bb296af1050f055ee3b,2026-09-10_14h09.07.359,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,277.0571,282.1783,0,5121,-0.353703704,0.232407407,1,0,0,one_red_dot,282.1786,283.1798,0,0,0,5,1,colour,images/1greenDot.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60a10d794573304f9e614e3f,57,6aa09bb296af1050f055ee3b,2026-09-10_14h09.07.359,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,283.1818,285.7785,1,2597,0.355555556,0.20462963,1,0,0,four_blue_stars,285.7803,286.7786,0,1,1,48,1,colour,images/4blueCrosses.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60a10d794573304f9e614e3f,57,6aa09bb296af1050f055ee3b,2026-09-10_14h09.07.359,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,286.7796,290.296,0,3516,-0.087962963,0.232407407,1,0,0,two_yellow_triangles,290.298,291.295,0,2,2,3,1,colour,images/1blueTriangle.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60a10d794573304f9e614e3f,57,6aa09bb296af1050f055ee3b,2026-09-10_14h09.07.359,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,291.2964,293.6787,1,2382,-0.434259259,0.246296296,1,0,0,one_red_dot,293.6801,294.6782,0,3,3,41,1,colour,images/3redDots.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60a10d794573304f9e614e3f,57,6aa09bb296af1050f055ee3b,2026-09-10_14h09.07.359,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,294.6801,300.2614,0,5582,0.134259259,0.201851852,1,0,0,three_green_crosses,300.2624,301.2617,0,4,4,45,1,colour,images/3yellowDots.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60a10d794573304f9e614e3f,57,6aa09bb296af1050f055ee3b,2026-09-10_14h09.07.359,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,301.2635,303.7857,0,2523,-0.109259259,0.225,1,0,0,two_yellow_triangles,303.7859,304.7787,0,5,5,17,1,colour,images/2blueDots.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60a10d794573304f9e614e3f,57,6aa09bb296af1050f055ee3b,2026-09-10_14h09.07.359,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,304.7798,307.962,1,3183,-0.342592593,0.217592593,1,0,0,one_red_dot,307.9638,308.9615,0,6,6,27,1,colour,images/2redTriangles.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60a10d794573304f9e614e3f,57,6aa09bb296af1050f055ee3b,2026-09-10_14h09.07.359,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0:64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60a10d794573304f9e614e3f,57,6aa09bb296af1050f055ee3b,2026-09-10_14h09.07.359,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,308.977,311.7624,1,2785,0.398148148,0.217592593,1,0,0,four_blue_stars,311.7646,312.7612,0,0,0,54,1,shape,images/4greenStars.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60a10d794573304f9e614e3f,57,6aa09bb296af1050f055ee3b,2026-09-10_14h09.07.359,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,312.7631,315.4283,1,2666,0.381481481,0.200925926,1,0,0,four_blue_stars,315.4288,316.4284,0,1,1,62,1,shape,images/4yellowStars.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60a10d794573304f9e614e3f,57,6aa09bb296af1050f055ee3b,2026-09-10_14h09.07.359,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,316.4304,319.2112,0,2782,-0.387037037,0.225,1,0,0,one_red_dot,319.2122,320.2113,0,2,2,4,1,shape,images/1greenCross.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60a10d794573304f9e614e3f,57,6aa09bb296af1050f055ee3b,2026-09-10_14h09.07.359,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,320.2137,322.6115,1,2399,0.397222222,0.249074074,1,0,0,four_blue_stars,322.6142,323.6113,0,3,3,2,1,shape,images/1blueStar.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60a10d794573304f9e614e3f,57,6aa09bb296af1050f055ee3b,2026-09-10_14h09.07.359,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,323.6134,326.9616,0,3349,0.374074074,0.193518519,1,0,0,four_blue_stars,326.9638,327.9617,0,4,4,51,1,shape,images/4blueTriangles.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60a10d794573304f9e614e3f,57,6aa09bb296af1050f055ee3b,2026-09-10_14h09.07.359,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,327.9632,330.9613,1,2999,-0.160185185,0.231481481,1,0,0,two_yellow_triangles,330.9618,331.9618,0,5,5,19,1,shape,images/2blueTriangles.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
