Participant_Info_Consent.block_1/Consent,participant,session,STUDY_ID,date,expName,psychopyVersion,OS,frameRate,dissent.started,dissent.stopped,Exclusion_Criteria_1.block_1/Mental_health_conditions,exclusion.started,exclusion.stopped,GroupAllocation.started,GroupAllocation.stopped,group,survey_demographics_IU.block_1/Sex,survey_demographics_IU.block_1/Age,survey_demographics_IU.block_1/Education,survey_demographics_IU.block_1/Ethnicity,survey_demographics_IU.block_1/Ethnicity-Comment,survey_demographics_IU.block_1/Politics,survey_demographics_IU.block_1/Politics-Comment,survey_demographics_IU.block_1/IU_scale.q1,survey_demographics_IU.block_1/IU_scale.q2,survey_demographics_IU.block_1/IU_scale.q3,survey_demographics_IU.block_1/IU_scale.q4,survey_demographics_IU.block_1/IU_scale.q5,survey_demographics_IU.block_1/IU_scale.q6,survey_demographics_IU.block_1/IU_scale.q7,survey_demographics_IU.block_1/IU_scale.q8,survey_demographics_IU.block_1/IU_scale.q9,survey_demographics_IU.block_1/IU_scale.q10,survey_demographics_IU.block_1/IU_scale.q11,survey_demographics_IU.block_1/IU_scale.q12,Instructions.started,Instructions.stopped,Example.started,Example.stopped,Trials.started,Trials.stopped,Score,RT,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.clicked_name,Feedback.started,Feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,rule,card,corrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,useRows,Scenarios.block_1/Expert Panel,Scenarios.block_1/Team Tension,Scenarios.block_1/Networking Gaffe,Scenarios.block_1/Viral Oversight,Scenarios.block_1/question16,ProgressBar.started,ProgressBar.stopped,feedback_14.started,feedback_14.stopped,press_spacebar.keys,press_spacebar.rt,press_spacebar.duration,show_feedback_low.thisRepN,show_feedback_low.thisTrialN,show_feedback_low.thisN,show_feedback_low.thisIndex,show_feedback_low.ran,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_1,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_2,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_3,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_4,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_5,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_6,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_7,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_8,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_9,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_10,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_11,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_12,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_13,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_14,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_15,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_16,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_17,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_18,ETMS_survey_end.block_1/Feedback check.Q1,ETMS_survey_end.block_1/Feedback check.Q2,ETMS_survey_end.block_1/Feedback check.Q3,ETMS_survey_end.block_1/StudyPurpose,ETMS_survey_end.block_1/WereYouEvaluated,ETMS_survey_end.block_1/Feedback_interpretation,ETMS_survey_end.block_1/Suspicious,ETMS_survey_end.block_1/Disclosure,ETMS_survey_end.block_1/Data use,End.started,End.stopped
1,62a1ef4b118ae7c6c666e130,6aa21b5e3eae7a400b46d644,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,6aa21b5e3eae7a400b46d644,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,5.1375,5.1525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,6aa21b5e3eae7a400b46d644,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,6aa21b5e3eae7a400b46d644,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,16.4781,16.4813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,34,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,16.7845,16.7847,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,34,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,,,1,2,31,4,other,biracial,other,Sinn Fein,1,4,4,2,4,4,4,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,34,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,,,1,,,,,,,,,,,,,,,,,,,,103.8557,129.2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,34,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,129.2006,154.1348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,34,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,154.1796,156.2687,0,2088,-0.084036458,0.264179687,1,0,0,two_yellow_triangles,156.2709,157.2661,0,0,0,7,1,number,images/1greenTriangle.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,34,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,157.2678,160.884,0,3616,0.078832465,0.245516493,1,0,0,three_green_crosses,160.885,161.8852,0,1,1,12,1,number,images/1yellowCross.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,34,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,161.887,164.6691,0,2783,0.374197049,0.236393229,1,0,0,four_blue_stars,164.6708,165.6676,0,2,2,3,1,number,images/1blueTriangle.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,34,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,165.6689,168.7033,1,3034,-0.316653646,0.211614583,1,0,0,one_red_dot,168.7052,169.7011,0,3,3,14,1,number,images/1yellowStar.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,34,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,169.7024,171.9673,1,2266,-0.077708333,0.238320312,1,0,0,two_yellow_triangles,171.968,172.9687,0,4,4,28,1,number,images/2yellowCrosses.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,34,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,172.9701,176.6532,1,3683,-0.077708333,0.238320312,1,0,0,two_yellow_triangles,176.6542,177.6517,0,5,5,22,1,number,images/2greenStars.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,34,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,177.653,180.2359,1,2583,0.115681424,0.228962674,1,0,0,three_green_crosses,180.2361,181.2352,0,6,6,39,1,number,images/3greenTriangles.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,34,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,64:128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,34,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,181.2536,183.7895,1,2536,0.115681424,0.228962674,1,0,0,three_green_crosses,183.7896,184.8034,0,0,0,44,1,shape,images/3yellowCrosses.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,34,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,184.8039,186.9539,0,2149,0.115681424,0.228962674,1,0,0,three_green_crosses,186.9557,187.9535,0,1,1,39,1,shape,images/3greenTriangles.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,34,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,187.955,190.9529,1,2998,-0.076180556,0.219014757,1,0,0,two_yellow_triangles,190.9547,191.9246,0,2,2,15,1,shape,images/1yellowTriangle.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,34,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,191.925,193.8379,0,1913,-0.076180556,0.219014757,1,0,0,two_yellow_triangles,193.8398,194.8389,0,3,3,13,1,shape,images/1yellowDot.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,34,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,194.8394,197.5524,1,2713,0.312591146,0.221974826,1,0,0,four_blue_stars,197.5555,198.5531,0,4,4,54,1,shape,images/4greenStars.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
