Participant_Info_Consent.block_1/Consent,participant,session,STUDY_ID,date,expName,psychopyVersion,OS,frameRate,dissent.started,dissent.stopped,Exclusion_Criteria_1.block_1/Mental_health_conditions,exclusion.started,exclusion.stopped,GroupAllocation.started,GroupAllocation.stopped,group,survey_demographics_IU.block_1/Sex,survey_demographics_IU.block_1/Age,survey_demographics_IU.block_1/Education,survey_demographics_IU.block_1/Ethnicity,survey_demographics_IU.block_1/Politics,survey_demographics_IU.block_1/IU_scale.q1,survey_demographics_IU.block_1/IU_scale.q2,survey_demographics_IU.block_1/IU_scale.q3,survey_demographics_IU.block_1/IU_scale.q4,survey_demographics_IU.block_1/IU_scale.q5,survey_demographics_IU.block_1/IU_scale.q6,survey_demographics_IU.block_1/IU_scale.q7,survey_demographics_IU.block_1/IU_scale.q8,survey_demographics_IU.block_1/IU_scale.q9,survey_demographics_IU.block_1/IU_scale.q10,survey_demographics_IU.block_1/IU_scale.q11,survey_demographics_IU.block_1/IU_scale.q12,Instructions.started,Instructions.stopped,Example.started,Example.stopped,Trials.started,Trials.stopped,Score,RT,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.clicked_name,Feedback.started,Feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,rule,card,corrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,useRows,Scenarios.block_1/Expert Panel,Scenarios.block_1/Team Tension,Scenarios.block_1/Networking Gaffe,Scenarios.block_1/Viral Oversight,Scenarios.block_1/question16,ProgressBar.started,ProgressBar.stopped,feedback_14.started,feedback_14.stopped,press_spacebar.keys,press_spacebar.rt,press_spacebar.duration,show_feedback_low.thisRepN,show_feedback_low.thisTrialN,show_feedback_low.thisN,show_feedback_low.thisIndex,show_feedback_low.ran,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_1,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_2,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_3,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_4,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_5,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_6,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_7,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_8,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_9,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_10,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_11,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_12,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_13,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_14,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_15,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_16,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_17,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_18,ETMS_survey_end.block_1/Feedback check.Q1,ETMS_survey_end.block_1/Feedback check.Q2,ETMS_survey_end.block_1/Feedback check.Q3,ETMS_survey_end.block_1/StudyPurpose,ETMS_survey_end.block_1/WereYouEvaluated,ETMS_survey_end.block_1/Feedback_interpretation,ETMS_survey_end.block_1/Suspicious,ETMS_survey_end.block_1/Disclosure,ETMS_survey_end.block_1/Data use,End.started,End.stopped
1,63942fe9e55a294e576e1475,6aa216ef64f8ff59e6d6a51c,6aa09bb296af1050f055ee3b,2026-09-10_12h34.12.405,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63942fe9e55a294e576e1475,6aa216ef64f8ff59e6d6a51c,6aa09bb296af1050f055ee3b,2026-09-10_12h34.12.405,Reading the Room,2026.1.3,Win32,59.52380952,58.1717,58.1836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63942fe9e55a294e576e1475,6aa216ef64f8ff59e6d6a51c,6aa09bb296af1050f055ee3b,2026-09-10_12h34.12.405,Reading the Room,2026.1.3,Win32,59.52380952,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63942fe9e55a294e576e1475,6aa216ef64f8ff59e6d6a51c,6aa09bb296af1050f055ee3b,2026-09-10_12h34.12.405,Reading the Room,2026.1.3,Win32,59.52380952,,,,63.2212,63.2227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63942fe9e55a294e576e1475,28,6aa09bb296af1050f055ee3b,2026-09-10_12h34.12.405,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,64.0922,64.0924,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63942fe9e55a294e576e1475,28,6aa09bb296af1050f055ee3b,2026-09-10_12h34.12.405,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,1,75,4,6,5,1,3,2,2,2,0,2,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63942fe9e55a294e576e1475,28,6aa09bb296af1050f055ee3b,2026-09-10_12h34.12.405,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,174.5606,224.3294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63942fe9e55a294e576e1475,28,6aa09bb296af1050f055ee3b,2026-09-10_12h34.12.405,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,224.3296,253.4637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63942fe9e55a294e576e1475,28,6aa09bb296af1050f055ee3b,2026-09-10_12h34.12.405,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,253.5214,255.4007,0,1880,-0.091666681,0.25,1,0,0,two_yellow_triangles,255.4012,256.4003,0,0,0,2,1,number,images/1blueStar.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63942fe9e55a294e576e1475,28,6aa09bb296af1050f055ee3b,2026-09-10_12h34.12.405,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,256.401,259.3134,1,2912,-0.344444452,0.238888882,1,0,0,one_red_dot,259.3142,260.3169,0,1,1,11,1,number,images/1redTriangle.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63942fe9e55a294e576e1475,28,6aa09bb296af1050f055ee3b,2026-09-10_12h34.12.405,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,260.3177,262.4175,0,2100,-0.125,0.261111101,1,0,0,two_yellow_triangles,262.4181,263.4137,0,2,2,47,1,number,images/3yellowTriangles.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63942fe9e55a294e576e1475,28,6aa09bb296af1050f055ee3b,2026-09-10_12h34.12.405,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,263.4149,265.8975,1,2483,0.41851849,0.305555556,1,0,0,four_blue_stars,265.8982,266.8974,0,3,3,56,1,number,images/4redCrosses.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63942fe9e55a294e576e1475,28,6aa09bb296af1050f055ee3b,2026-09-10_12h34.12.405,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,266.8985,269.7515,0,2853,0.357407464,0.210185175,1,0,0,four_blue_stars,269.7521,270.7501,0,4,4,1,1,number,images/1blueDot.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63942fe9e55a294e576e1475,28,6aa09bb296af1050f055ee3b,2026-09-10_12h34.12.405,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,270.7508,273.2146,0,2464,-0.429629608,0.247222212,1,0,0,one_red_dot,273.2149,274.2145,0,5,5,57,1,number,images/4redDots.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63942fe9e55a294e576e1475,28,6aa09bb296af1050f055ee3b,2026-09-10_12h34.12.405,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,274.2151,277.5815,0,3366,0.371296353,0.24166667,1,0,0,four_blue_stars,277.5818,278.5849,0,6,6,6,1,number,images/1greenStar.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63942fe9e55a294e576e1475,28,6aa09bb296af1050f055ee3b,2026-09-10_12h34.12.405,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,64:128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63942fe9e55a294e576e1475,28,6aa09bb296af1050f055ee3b,2026-09-10_12h34.12.405,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,278.5949,280.8356,1,2241,-0.14444443,0.192592586,1,0,0,two_yellow_triangles,280.8363,281.8348,0,0,0,29,1,colour,images/2yellowDots.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63942fe9e55a294e576e1475,28,6aa09bb296af1050f055ee3b,2026-09-10_12h34.12.405,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,281.8354,284.0021,1,2167,0.089814857,0.193518497,1,0,0,three_green_crosses,284.0022,284.9986,0,1,1,6,1,colour,images/1greenStar.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63942fe9e55a294e576e1475,28,6aa09bb296af1050f055ee3b,2026-09-10_12h34.12.405,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,284.9993,287.9489,0,2950,0.443518603,0.212962963,1,0,0,four_blue_stars,287.9499,288.9486,0,2,2,54,1,colour,images/4greenStars.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63942fe9e55a294e576e1475,28,6aa09bb296af1050f055ee3b,2026-09-10_12h34.12.405,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,288.9499,291.6827,1,2733,0.128703718,0.211111104,1,0,0,three_green_crosses,291.6837,292.6823,0,3,3,4,1,colour,images/1greenCross.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63942fe9e55a294e576e1475,28,6aa09bb296af1050f055ee3b,2026-09-10_12h34.12.405,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,292.6834,294.7331,0,2050,-0.160185143,0.223148152,1,0,0,two_yellow_triangles,294.734,295.7324,0,4,4,23,1,colour,images/2greenTriangles.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63942fe9e55a294e576e1475,28,6aa09bb296af1050f055ee3b,2026-09-10_12h34.12.405,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,295.7336,299.2036,0,3471,0.341666751,0.184259238,1,0,0,four_blue_stars,299.2038,300.2029,0,5,5,22,1,colour,images/2greenStars.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63942fe9e55a294e576e1475,28,6aa09bb296af1050f055ee3b,2026-09-10_12h34.12.405,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,300.2035,302.6165,0,2413,-0.089814787,0.255555559,1,0,0,two_yellow_triangles,302.6168,303.6163,0,6,6,21,1,colour,images/2greenDots.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63942fe9e55a294e576e1475,28,6aa09bb296af1050f055ee3b,2026-09-10_12h34.12.405,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,1,0:64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63942fe9e55a294e576e1475,28,6aa09bb296af1050f055ee3b,2026-09-10_12h34.12.405,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,303.6358,306.387,1,2751,0.353703675,0.220370363,1,0,0,four_blue_stars,306.3876,307.3869,0,0,0,18,1,shape,images/2blueStars.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63942fe9e55a294e576e1475,28,6aa09bb296af1050f055ee3b,2026-09-10_12h34.12.405,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,307.388,309.9336,0,2546,0.086111139,0.208333333,1,0,0,three_green_crosses,309.9342,310.9339,0,1,1,54,1,shape,images/4greenStars.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
