Participant_Info_Consent.block_1/Consent,participant,session,STUDY_ID,date,expName,psychopyVersion,OS,frameRate,dissent.started,dissent.stopped,Exclusion_Criteria_1.block_1/Mental_health_conditions,exclusion.started,exclusion.stopped,GroupAllocation.started,GroupAllocation.stopped,group,survey_demographics_IU.block_1/Sex,survey_demographics_IU.block_1/Age,survey_demographics_IU.block_1/Education,survey_demographics_IU.block_1/Ethnicity,survey_demographics_IU.block_1/Politics,survey_demographics_IU.block_1/IU_scale.q1,survey_demographics_IU.block_1/IU_scale.q2,survey_demographics_IU.block_1/IU_scale.q3,survey_demographics_IU.block_1/IU_scale.q4,survey_demographics_IU.block_1/IU_scale.q5,survey_demographics_IU.block_1/IU_scale.q6,survey_demographics_IU.block_1/IU_scale.q7,survey_demographics_IU.block_1/IU_scale.q8,survey_demographics_IU.block_1/IU_scale.q9,survey_demographics_IU.block_1/IU_scale.q10,survey_demographics_IU.block_1/IU_scale.q11,survey_demographics_IU.block_1/IU_scale.q12,Instructions.started,Instructions.stopped,Example.started,Example.stopped,Trials.started,Trials.stopped,Score,RT,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.clicked_name,Feedback.started,Feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,rule,card,corrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,useRows,Scenarios.block_1/Expert Panel,Scenarios.block_1/Team Tension,Scenarios.block_1/Networking Gaffe,Scenarios.block_1/Viral Oversight,Scenarios.block_1/question16,ProgressBar.started,ProgressBar.stopped,feedback_50.started,feedback_50.stopped,press_spacebar_2.keys,press_spacebar_2.rt,press_spacebar_2.duration,show_feeback_hi.thisRepN,show_feeback_hi.thisTrialN,show_feeback_hi.thisN,show_feeback_hi.thisIndex,show_feeback_hi.ran,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_1,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_2,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_3,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_4,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_5,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_6,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_7,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_8,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_9,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_10,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_11,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_12,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_13,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_14,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_15,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_16,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_17,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_18,ETMS_survey_end.block_1/Feedback check.Q1,ETMS_survey_end.block_1/Feedback check.Q2,ETMS_survey_end.block_1/Feedback check.Q3,ETMS_survey_end.block_1/StudyPurpose,ETMS_survey_end.block_1/WereYouEvaluated,ETMS_survey_end.block_1/Feedback_interpretation,ETMS_survey_end.block_1/Suspicious,ETMS_survey_end.block_1/Disclosure,ETMS_survey_end.block_1/Data use,End.started,End.stopped
1,63d0260e307282309d31e2d1,6aa22d18def9cfb16bb019f5,6aa09bb296af1050f055ee3b,2026-09-10_12h09.11.067,Reading the Room,2026.1.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63d0260e307282309d31e2d1,6aa22d18def9cfb16bb019f5,6aa09bb296af1050f055ee3b,2026-09-10_12h09.11.067,Reading the Room,2026.1.3,Win32,59.95203837,10.764,10.771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63d0260e307282309d31e2d1,6aa22d18def9cfb16bb019f5,6aa09bb296af1050f055ee3b,2026-09-10_12h09.11.067,Reading the Room,2026.1.3,Win32,59.95203837,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63d0260e307282309d31e2d1,6aa22d18def9cfb16bb019f5,6aa09bb296af1050f055ee3b,2026-09-10_12h09.11.067,Reading the Room,2026.1.3,Win32,59.95203837,,,,20.867,20.872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63d0260e307282309d31e2d1,57,6aa09bb296af1050f055ee3b,2026-09-10_12h09.11.067,Reading the Room,2026.1.3,Win32,59.95203837,,,,,,22.045,22.045,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63d0260e307282309d31e2d1,57,6aa09bb296af1050f055ee3b,2026-09-10_12h09.11.067,Reading the Room,2026.1.3,Win32,59.95203837,,,,,,,,2,3,35,4,4,1,2,3,3,3,3,3,3,2,2,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63d0260e307282309d31e2d1,57,6aa09bb296af1050f055ee3b,2026-09-10_12h09.11.067,Reading the Room,2026.1.3,Win32,59.95203837,,,,,,,,2,,,,,,,,,,,,,,,,,,122.976,144.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63d0260e307282309d31e2d1,57,6aa09bb296af1050f055ee3b,2026-09-10_12h09.11.067,Reading the Room,2026.1.3,Win32,59.95203837,,,,,,,,2,,,,,,,,,,,,,,,,,,,,144.518,161.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63d0260e307282309d31e2d1,57,6aa09bb296af1050f055ee3b,2026-09-10_12h09.11.067,Reading the Room,2026.1.3,Win32,59.95203837,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,161.569,164.321,1,2752,-0.1796875,0.213541667,1,0,0,two_yellow_triangles,164.322,165.315,0,0,0,3,1,shape,images/1blueTriangle.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63d0260e307282309d31e2d1,57,6aa09bb296af1050f055ee3b,2026-09-10_12h09.11.067,Reading the Room,2026.1.3,Win32,59.95203837,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,165.316,167.829,1,2511,0.3828125,0.223958333,1,0,0,four_blue_stars,167.829,168.831,0,1,1,46,1,shape,images/3yellowStars.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63d0260e307282309d31e2d1,57,6aa09bb296af1050f055ee3b,2026-09-10_12h09.11.067,Reading the Room,2026.1.3,Win32,59.95203837,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,168.833,170.709,1,1875,0.338541667,0.20703125,1,0,0,four_blue_stars,170.71,171.709,0,2,2,34,1,shape,images/3blueStars.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63d0260e307282309d31e2d1,57,6aa09bb296af1050f055ee3b,2026-09-10_12h09.11.067,Reading the Room,2026.1.3,Win32,59.95203837,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,171.711,173.823,1,2113,0.11328125,0.212239583,1,0,0,three_green_crosses,173.823,174.823,0,3,3,48,1,shape,images/4blueCrosses.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63d0260e307282309d31e2d1,57,6aa09bb296af1050f055ee3b,2026-09-10_12h09.11.067,Reading the Room,2026.1.3,Win32,59.95203837,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,174.825,177.12,1,2293,-0.41796875,0.208333333,1,0,0,one_red_dot,177.12,178.12,0,4,4,53,1,shape,images/4greenDots.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63d0260e307282309d31e2d1,57,6aa09bb296af1050f055ee3b,2026-09-10_12h09.11.067,Reading the Room,2026.1.3,Win32,59.95203837,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,178.12,180.667,1,2547,0.15625,0.234375,1,0,0,three_green_crosses,180.667,181.664,0,5,5,44,1,shape,images/3yellowCrosses.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63d0260e307282309d31e2d1,57,6aa09bb296af1050f055ee3b,2026-09-10_12h09.11.067,Reading the Room,2026.1.3,Win32,59.95203837,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,181.666,183.779,1,2115,-0.109375,0.19921875,1,0,0,two_yellow_triangles,183.779,184.78,0,6,6,35,1,shape,images/3blueTriangles.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63d0260e307282309d31e2d1,57,6aa09bb296af1050f055ee3b,2026-09-10_12h09.11.067,Reading the Room,2026.1.3,Win32,59.95203837,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,1,128:192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
