Participant_Info_Consent.block_1/Consent,participant,session,STUDY_ID,date,expName,psychopyVersion,OS,frameRate,dissent.started,dissent.stopped,Exclusion_Criteria_1.block_1/Mental_health_conditions,exclusion.started,exclusion.stopped,GroupAllocation.started,GroupAllocation.stopped,group,survey_demographics_IU.block_1/Sex,survey_demographics_IU.block_1/Age,survey_demographics_IU.block_1/Education,survey_demographics_IU.block_1/Ethnicity,survey_demographics_IU.block_1/Politics,survey_demographics_IU.block_1/IU_scale.q1,survey_demographics_IU.block_1/IU_scale.q2,survey_demographics_IU.block_1/IU_scale.q3,survey_demographics_IU.block_1/IU_scale.q4,survey_demographics_IU.block_1/IU_scale.q5,survey_demographics_IU.block_1/IU_scale.q6,survey_demographics_IU.block_1/IU_scale.q7,survey_demographics_IU.block_1/IU_scale.q8,survey_demographics_IU.block_1/IU_scale.q9,survey_demographics_IU.block_1/IU_scale.q10,survey_demographics_IU.block_1/IU_scale.q11,survey_demographics_IU.block_1/IU_scale.q12,Instructions.started,Instructions.stopped,Example.started,Example.stopped,Trials.started,Trials.stopped,Score,RT,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.clicked_name,Feedback.started,Feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,rule,card,corrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,useRows,Scenarios.block_1/Expert Panel,Scenarios.block_1/Team Tension,Scenarios.block_1/Networking Gaffe,Scenarios.block_1/Viral Oversight,Scenarios.block_1/question16,ProgressBar.started,ProgressBar.stopped,feedback_50.started,feedback_50.stopped,press_spacebar_2.keys,press_spacebar_2.rt,press_spacebar_2.duration,show_feeback_hi.thisRepN,show_feeback_hi.thisTrialN,show_feeback_hi.thisN,show_feeback_hi.thisIndex,show_feeback_hi.ran,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_1,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_2,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_3,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_4,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_5,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_6,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_7,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_8,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_9,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_10,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_11,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_12,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_13,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_14,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_15,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_16,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_17,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_18,ETMS_survey_end.block_1/Feedback check.Q1,ETMS_survey_end.block_1/Feedback check.Q2,ETMS_survey_end.block_1/Feedback check.Q3,ETMS_survey_end.block_1/StudyPurpose,ETMS_survey_end.block_1/WereYouEvaluated,ETMS_survey_end.block_1/Feedback_interpretation,ETMS_survey_end.block_1/Suspicious,ETMS_survey_end.block_1/Disclosure,ETMS_survey_end.block_1/Data use,End.started,End.stopped
1,69125fab19177a1958393215,6aa243a85c99608a92606332,6aa09bb296af1050f055ee3b,2026-09-10_15h45.10.360,Reading the Room,2026.1.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69125fab19177a1958393215,6aa243a85c99608a92606332,6aa09bb296af1050f055ee3b,2026-09-10_15h45.10.360,Reading the Room,2026.1.3,MacIntel,62.5,3.8502,3.8549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69125fab19177a1958393215,6aa243a85c99608a92606332,6aa09bb296af1050f055ee3b,2026-09-10_15h45.10.360,Reading the Room,2026.1.3,MacIntel,62.5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69125fab19177a1958393215,6aa243a85c99608a92606332,6aa09bb296af1050f055ee3b,2026-09-10_15h45.10.360,Reading the Room,2026.1.3,MacIntel,62.5,,,,6.0994,6.1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69125fab19177a1958393215,86,6aa09bb296af1050f055ee3b,2026-09-10_15h45.10.360,Reading the Room,2026.1.3,MacIntel,62.5,,,,,,6.869,6.8693,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69125fab19177a1958393215,86,6aa09bb296af1050f055ee3b,2026-09-10_15h45.10.360,Reading the Room,2026.1.3,MacIntel,62.5,,,,,,,,2,2,7,2,4,5,3,2,1,2,2,2,3,2,3,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69125fab19177a1958393215,86,6aa09bb296af1050f055ee3b,2026-09-10_15h45.10.360,Reading the Room,2026.1.3,MacIntel,62.5,,,,,,,,2,,,,,,,,,,,,,,,,,,50.2913,57.6145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69125fab19177a1958393215,86,6aa09bb296af1050f055ee3b,2026-09-10_15h45.10.360,Reading the Room,2026.1.3,MacIntel,62.5,,,,,,,,2,,,,,,,,,,,,,,,,,,,,57.6145,72.1143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69125fab19177a1958393215,86,6aa09bb296af1050f055ee3b,2026-09-10_15h45.10.360,Reading the Room,2026.1.3,MacIntel,62.5,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,72.1404,73.9808,0,1840,0.108762064,0.213248171,1,0,0,three_green_crosses,73.9813,74.9806,0,0,0,5,1,shape,images/1greenDot.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69125fab19177a1958393215,86,6aa09bb296af1050f055ee3b,2026-09-10_15h45.10.360,Reading the Room,2026.1.3,MacIntel,62.5,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,74.9816,77.2635,0,2282,0.353795338,0.300401814,1,0,0,four_blue_stars,77.2638,78.2632,0,1,1,60,1,shape,images/4yellowCrosses.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69125fab19177a1958393215,86,6aa09bb296af1050f055ee3b,2026-09-10_15h45.10.360,Reading the Room,2026.1.3,MacIntel,62.5,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,78.2635,81.4464,1,3183,-0.130618579,0.22367781,1,0,0,two_yellow_triangles,81.447,82.4468,0,2,2,59,1,shape,images/4redTriangles.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69125fab19177a1958393215,86,6aa09bb296af1050f055ee3b,2026-09-10_15h45.10.360,Reading the Room,2026.1.3,MacIntel,62.5,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,82.4477,84.596,0,2148,0.352058686,0.237609939,1,0,0,four_blue_stars,84.5968,85.5964,0,3,3,49,1,shape,images/4blueDots.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69125fab19177a1958393215,86,6aa09bb296af1050f055ee3b,2026-09-10_15h45.10.360,Reading the Room,2026.1.3,MacIntel,62.5,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,85.5969,87.7303,1,2133,-0.384714547,0.229067754,1,0,0,one_red_dot,87.7311,88.7301,0,4,4,9,1,shape,images/1redDot.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69125fab19177a1958393215,86,6aa09bb296af1050f055ee3b,2026-09-10_15h45.10.360,Reading the Room,2026.1.3,MacIntel,62.5,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,88.7309,91.1135,0,2383,-0.311210889,0.20997918,1,0,0,one_red_dot,91.1141,92.1125,0,5,5,2,1,shape,images/1blueStar.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69125fab19177a1958393215,86,6aa09bb296af1050f055ee3b,2026-09-10_15h45.10.360,Reading the Room,2026.1.3,MacIntel,62.5,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,92.1133,95.1125,0,2999,-0.303865388,0.204496809,1,0,0,one_red_dot,95.1127,96.1134,0,6,6,42,1,shape,images/3redStars.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69125fab19177a1958393215,86,6aa09bb296af1050f055ee3b,2026-09-10_15h45.10.360,Reading the Room,2026.1.3,MacIntel,62.5,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,1,128:192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69125fab19177a1958393215,86,6aa09bb296af1050f055ee3b,2026-09-10_15h45.10.360,Reading the Room,2026.1.3,MacIntel,62.5,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,96.1232,98.4468,0,2323,-0.361894847,0.220068299,1,0,0,one_red_dot,98.447,99.4467,0,0,0,12,1,colour,images/1yellowCross.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69125fab19177a1958393215,86,6aa09bb296af1050f055ee3b,2026-09-10_15h45.10.360,Reading the Room,2026.1.3,MacIntel,62.5,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,99.4476,101.3634,0,1916,-0.099553432,0.185471474,1,0,0,two_yellow_triangles,101.3636,102.3633,0,1,1,25,1,colour,images/2redDots.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
