Participant_Info_Consent.block_1/Consent,participant,session,STUDY_ID,date,expName,psychopyVersion,OS,frameRate,dissent.started,dissent.stopped,Exclusion_Criteria_1.block_1/Mental_health_conditions,exclusion.started,exclusion.stopped,GroupAllocation.started,GroupAllocation.stopped,group,survey_demographics_IU.block_1/Sex,survey_demographics_IU.block_1/Age,survey_demographics_IU.block_1/Education,survey_demographics_IU.block_1/Ethnicity,survey_demographics_IU.block_1/Politics,survey_demographics_IU.block_1/IU_scale.q1,survey_demographics_IU.block_1/IU_scale.q2,survey_demographics_IU.block_1/IU_scale.q3,survey_demographics_IU.block_1/IU_scale.q4,survey_demographics_IU.block_1/IU_scale.q5,survey_demographics_IU.block_1/IU_scale.q6,survey_demographics_IU.block_1/IU_scale.q7,survey_demographics_IU.block_1/IU_scale.q8,survey_demographics_IU.block_1/IU_scale.q9,survey_demographics_IU.block_1/IU_scale.q10,survey_demographics_IU.block_1/IU_scale.q11,survey_demographics_IU.block_1/IU_scale.q12,Instructions.started,Instructions.stopped,Example.started,Example.stopped,Trials.started,Trials.stopped,Score,RT,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.clicked_name,Feedback.started,Feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,rule,card,corrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,useRows,Scenarios.block_1/Expert Panel,Scenarios.block_1/Team Tension,Scenarios.block_1/Networking Gaffe,Scenarios.block_1/Viral Oversight,Scenarios.block_1/question16,ProgressBar.started,ProgressBar.stopped,feedback_14.started,feedback_14.stopped,press_spacebar.keys,press_spacebar.rt,press_spacebar.duration,show_feedback_low.thisRepN,show_feedback_low.thisTrialN,show_feedback_low.thisN,show_feedback_low.thisIndex,show_feedback_low.ran,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_1,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_2,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_3,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_4,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_5,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_6,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_7,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_8,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_9,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_10,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_11,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_12,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_13,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_14,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_15,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_16,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_17,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_18,ETMS_survey_end.block_1/Feedback check.Q1,ETMS_survey_end.block_1/Feedback check.Q2,ETMS_survey_end.block_1/Feedback check.Q3,ETMS_survey_end.block_1/WereYouEvaluated,ETMS_survey_end.block_1/Feedback_interpretation,ETMS_survey_end.block_1/StudyPurpose,ETMS_survey_end.block_1/Suspicious,ETMS_survey_end.block_1/Disclosure,ETMS_survey_end.block_1/Data use,End.started,End.stopped
1,691d38f81ac511c57d68f093,6aa22836da924db356383a08,6aa09bb296af1050f055ee3b,2026-09-10_13h48.02.744,Reading the Room,2026.1.3,Win32,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,691d38f81ac511c57d68f093,6aa22836da924db356383a08,6aa09bb296af1050f055ee3b,2026-09-10_13h48.02.744,Reading the Room,2026.1.3,Win32,250,41.8448,41.8526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,691d38f81ac511c57d68f093,6aa22836da924db356383a08,6aa09bb296af1050f055ee3b,2026-09-10_13h48.02.744,Reading the Room,2026.1.3,Win32,250,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,691d38f81ac511c57d68f093,6aa22836da924db356383a08,6aa09bb296af1050f055ee3b,2026-09-10_13h48.02.744,Reading the Room,2026.1.3,Win32,250,,,,45.4774,45.4787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,691d38f81ac511c57d68f093,50,6aa09bb296af1050f055ee3b,2026-09-10_13h48.02.744,Reading the Room,2026.1.3,Win32,250,,,,,,46.549,46.5492,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,691d38f81ac511c57d68f093,50,6aa09bb296af1050f055ee3b,2026-09-10_13h48.02.744,Reading the Room,2026.1.3,Win32,250,,,,,,,,1,4,-8,4,4,1,3,3,2,1,3,3,2,3,2,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,691d38f81ac511c57d68f093,50,6aa09bb296af1050f055ee3b,2026-09-10_13h48.02.744,Reading the Room,2026.1.3,Win32,250,,,,,,,,1,,,,,,,,,,,,,,,,,,158.7781,169.4254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,691d38f81ac511c57d68f093,50,6aa09bb296af1050f055ee3b,2026-09-10_13h48.02.744,Reading the Room,2026.1.3,Win32,250,,,,,,,,1,,,,,,,,,,,,,,,,,,,,169.4256,183.3066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,691d38f81ac511c57d68f093,50,6aa09bb296af1050f055ee3b,2026-09-10_13h48.02.744,Reading the Room,2026.1.3,Win32,250,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,183.3266,188.0983,1,4771,-0.334895833,0.195833333,1,0,0,one_red_dot,188.0986,189.0969,0,0,0,9,1,colour,images/1redDot.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,691d38f81ac511c57d68f093,50,6aa09bb296af1050f055ee3b,2026-09-10_13h48.02.744,Reading the Room,2026.1.3,Win32,250,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,189.0982,192.7993,0,3701,-0.349479167,0.197222201,1,0,0,one_red_dot,192.8,193.7965,0,1,1,13,1,colour,images/1yellowDot.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,691d38f81ac511c57d68f093,50,6aa09bb296af1050f055ee3b,2026-09-10_13h48.02.744,Reading the Room,2026.1.3,Win32,250,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,193.7969,196.2503,1,2453,-0.349479167,0.192361101,1,0,0,one_red_dot,196.2511,197.2523,0,2,2,43,1,colour,images/3redTriangles.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,691d38f81ac511c57d68f093,50,6aa09bb296af1050f055ee3b,2026-09-10_13h48.02.744,Reading the Room,2026.1.3,Win32,250,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,197.2529,199.7375,1,2484,-0.117534701,0.247222217,1,0,0,two_yellow_triangles,199.7377,200.7386,0,3,3,46,1,colour,images/3yellowStars.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,691d38f81ac511c57d68f093,50,6aa09bb296af1050f055ee3b,2026-09-10_13h48.02.744,Reading the Room,2026.1.3,Win32,250,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,200.7393,203.1895,1,2450,0.351215363,0.261111101,1,0,0,four_blue_stars,203.1896,204.1921,0,4,4,48,1,colour,images/4blueCrosses.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,691d38f81ac511c57d68f093,50,6aa09bb296af1050f055ee3b,2026-09-10_13h48.02.744,Reading the Room,2026.1.3,Win32,250,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,204.1927,206.4124,1,2220,0.134548632,0.222916667,1,0,0,three_green_crosses,206.4125,207.4126,0,5,5,21,1,colour,images/2greenDots.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,691d38f81ac511c57d68f093,50,6aa09bb296af1050f055ee3b,2026-09-10_13h48.02.744,Reading the Room,2026.1.3,Win32,250,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,207.4137,209.6579,1,2245,-0.393229167,0.319444434,1,0,0,one_red_dot,209.6581,210.6533,0,6,6,58,1,colour,images/4redStars.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,691d38f81ac511c57d68f093,50,6aa09bb296af1050f055ee3b,2026-09-10_13h48.02.744,Reading the Room,2026.1.3,Win32,250,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0:64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,691d38f81ac511c57d68f093,50,6aa09bb296af1050f055ee3b,2026-09-10_13h48.02.744,Reading the Room,2026.1.3,Win32,250,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,210.6601,213.0983,0,2438,0.376215363,0.202083333,1,0,0,four_blue_stars,213.099,214.1,0,0,0,34,1,number,images/3blueStars.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,691d38f81ac511c57d68f093,50,6aa09bb296af1050f055ee3b,2026-09-10_13h48.02.744,Reading the Room,2026.1.3,Win32,250,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,214.1005,216.3228,1,2222,-0.097395833,0.300694434,1,0,0,two_yellow_triangles,216.3236,217.3185,0,1,1,19,1,number,images/2blueTriangles.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,691d38f81ac511c57d68f093,50,6aa09bb296af1050f055ee3b,2026-09-10_13h48.02.744,Reading the Room,2026.1.3,Win32,250,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,217.3191,219.4382,1,2119,-0.317534701,0.213194434,1,0,0,one_red_dot,219.4384,220.4422,0,2,2,1,1,number,images/1blueDot.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,691d38f81ac511c57d68f093,50,6aa09bb296af1050f055ee3b,2026-09-10_13h48.02.744,Reading the Room,2026.1.3,Win32,250,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,220.4428,222.5146,1,2072,-0.173090235,0.188194434,1,0,0,two_yellow_triangles,222.5148,223.5157,0,3,3,27,1,number,images/2redTriangles.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,691d38f81ac511c57d68f093,50,6aa09bb296af1050f055ee3b,2026-09-10_13h48.02.744,Reading the Room,2026.1.3,Win32,250,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,223.5161,226.7202,1,3204,0.164409765,0.232638868,1,0,0,three_green_crosses,226.7204,227.7176,0,4,4,33,1,number,images/3blueDots.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,691d38f81ac511c57d68f093,50,6aa09bb296af1050f055ee3b,2026-09-10_13h48.02.744,Reading the Room,2026.1.3,Win32,250,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,227.7184,229.8355,1,2117,-0.353645833,0.247222217,1,0,0,one_red_dot,229.8355,230.834,0,5,5,3,1,number,images/1blueTriangle.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,691d38f81ac511c57d68f093,50,6aa09bb296af1050f055ee3b,2026-09-10_13h48.02.744,Reading the Room,2026.1.3,Win32,250,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,230.8347,235.1555,1,4321,0.0921875,0.184722201,1,0,0,three_green_crosses,235.1558,236.1537,0,6,6,38,1,number,images/3greenStars.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,691d38f81ac511c57d68f093,50,6aa09bb296af1050f055ee3b,2026-09-10_13h48.02.744,Reading the Room,2026.1.3,Win32,250,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,64:128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,691d38f81ac511c57d68f093,50,6aa09bb296af1050f055ee3b,2026-09-10_13h48.02.744,Reading the Room,2026.1.3,Win32,250,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,236.1604,238.5213,1,2361,0.119965299,0.204166667,1,0,0,three_green_crosses,238.5214,239.5166,0,0,0,32,1,shape,images/3blueCrosses.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,691d38f81ac511c57d68f093,50,6aa09bb296af1050f055ee3b,2026-09-10_13h48.02.744,Reading the Room,2026.1.3,Win32,250,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,239.5174,242.0638,1,2547,-0.330729167,0.205555534,1,0,0,one_red_dot,242.064,243.0665,0,1,1,13,1,shape,images/1yellowDot.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,691d38f81ac511c57d68f093,50,6aa09bb296af1050f055ee3b,2026-09-10_13h48.02.744,Reading the Room,2026.1.3,Win32,250,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,243.0675,246.5962,0,3529,0.368576431,0.171527767,1,0,0,four_blue_stars,246.5968,247.5954,0,2,2,55,1,shape,images/4greenTriangles.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
