Participant_Info_Consent.block_1/Consent,participant,session,STUDY_ID,date,expName,psychopyVersion,OS,frameRate,dissent.started,dissent.stopped,Exclusion_Criteria_1.block_1/Mental_health_conditions,exclusion.started,exclusion.stopped,GroupAllocation.started,GroupAllocation.stopped,group,survey_demographics_IU.block_1/Sex,survey_demographics_IU.block_1/Age,survey_demographics_IU.block_1/Education,survey_demographics_IU.block_1/Ethnicity,survey_demographics_IU.block_1/Politics,survey_demographics_IU.block_1/IU_scale.q1,survey_demographics_IU.block_1/IU_scale.q2,survey_demographics_IU.block_1/IU_scale.q3,survey_demographics_IU.block_1/IU_scale.q4,survey_demographics_IU.block_1/IU_scale.q5,survey_demographics_IU.block_1/IU_scale.q6,survey_demographics_IU.block_1/IU_scale.q7,survey_demographics_IU.block_1/IU_scale.q8,survey_demographics_IU.block_1/IU_scale.q9,survey_demographics_IU.block_1/IU_scale.q10,survey_demographics_IU.block_1/IU_scale.q11,survey_demographics_IU.block_1/IU_scale.q12,Instructions.started,Instructions.stopped,Example.started,Example.stopped,Trials.started,Trials.stopped,Score,RT,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.clicked_name,Feedback.started,Feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,rule,card,corrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,useRows,Scenarios.block_1/Expert Panel,Scenarios.block_1/Team Tension,Scenarios.block_1/Networking Gaffe,Scenarios.block_1/Viral Oversight,Scenarios.block_1/question16,ProgressBar.started,ProgressBar.stopped,feedback_14.started,feedback_14.stopped,press_spacebar.keys,press_spacebar.rt,press_spacebar.duration,show_feedback_low.thisRepN,show_feedback_low.thisTrialN,show_feedback_low.thisN,show_feedback_low.thisIndex,show_feedback_low.ran,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_1,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_2,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_3,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_4,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_5,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_6,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_7,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_8,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_9,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_10,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_11,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_12,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_13,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_14,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_15,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_16,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_17,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_18,ETMS_survey_end.block_1/Feedback check.Q1,ETMS_survey_end.block_1/Feedback check.Q2,ETMS_survey_end.block_1/Feedback check.Q3,ETMS_survey_end.block_1/StudyPurpose,ETMS_survey_end.block_1/WereYouEvaluated,ETMS_survey_end.block_1/Feedback_interpretation,ETMS_survey_end.block_1/Suspicious,ETMS_survey_end.block_1/Disclosure,ETMS_survey_end.block_1/Data use,End.started,End.stopped
1,69309f7da595fb656eebdeb1,6aa22499e430a60982a10fc2,6aa09bb296af1050f055ee3b,2026-09-10_15h33.24.115,Reading the Room,2026.1.3,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69309f7da595fb656eebdeb1,6aa22499e430a60982a10fc2,6aa09bb296af1050f055ee3b,2026-09-10_15h33.24.115,Reading the Room,2026.1.3,Linux x86_64,60.24096386,31.8294,31.8436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69309f7da595fb656eebdeb1,6aa22499e430a60982a10fc2,6aa09bb296af1050f055ee3b,2026-09-10_15h33.24.115,Reading the Room,2026.1.3,Linux x86_64,60.24096386,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69309f7da595fb656eebdeb1,6aa22499e430a60982a10fc2,6aa09bb296af1050f055ee3b,2026-09-10_15h33.24.115,Reading the Room,2026.1.3,Linux x86_64,60.24096386,,,,65.7754,65.7775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69309f7da595fb656eebdeb1,48,6aa09bb296af1050f055ee3b,2026-09-10_15h33.24.115,Reading the Room,2026.1.3,Linux x86_64,60.24096386,,,,,,66.6221,66.6226,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69309f7da595fb656eebdeb1,48,6aa09bb296af1050f055ee3b,2026-09-10_15h33.24.115,Reading the Room,2026.1.3,Linux x86_64,60.24096386,,,,,,,,1,1,47,1,4,2,2,2,3,2,3,2,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69309f7da595fb656eebdeb1,48,6aa09bb296af1050f055ee3b,2026-09-10_15h33.24.115,Reading the Room,2026.1.3,Linux x86_64,60.24096386,,,,,,,,1,,,,,,,,,,,,,,,,,,235.0281,249.1277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69309f7da595fb656eebdeb1,48,6aa09bb296af1050f055ee3b,2026-09-10_15h33.24.115,Reading the Room,2026.1.3,Linux x86_64,60.24096386,,,,,,,,1,,,,,,,,,,,,,,,,,,,,249.1278,313.5343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69309f7da595fb656eebdeb1,48,6aa09bb296af1050f055ee3b,2026-09-10_15h33.24.115,Reading the Room,2026.1.3,Linux x86_64,60.24096386,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,313.5833,320.7284,0,7144,0.124635484,0.221595934,1,0,0,three_green_crosses,320.7302,321.7297,0,0,0,33,1,shape,images/3blueDots.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69309f7da595fb656eebdeb1,48,6aa09bb296af1050f055ee3b,2026-09-10_15h33.24.115,Reading the Room,2026.1.3,Linux x86_64,60.24096386,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,321.731,325.7414,0,4010,-0.122230699,0.262786583,1,0,0,two_yellow_triangles,325.7419,326.7393,0,1,1,46,1,shape,images/3yellowStars.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69309f7da595fb656eebdeb1,48,6aa09bb296af1050f055ee3b,2026-09-10_15h33.24.115,Reading the Room,2026.1.3,Linux x86_64,60.24096386,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,326.7409,330.7228,1,3982,-0.434067903,0.22924248,1,0,0,one_red_dot,330.7262,331.7168,0,2,2,25,1,shape,images/2redDots.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69309f7da595fb656eebdeb1,48,6aa09bb296af1050f055ee3b,2026-09-10_15h33.24.115,Reading the Room,2026.1.3,Linux x86_64,60.24096386,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,331.7176,333.9481,1,2231,-0.365492814,0.185684741,1,0,0,one_red_dot,333.9482,334.9479,0,3,3,17,1,shape,images/2blueDots.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69309f7da595fb656eebdeb1,48,6aa09bb296af1050f055ee3b,2026-09-10_15h33.24.115,Reading the Room,2026.1.3,Linux x86_64,60.24096386,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,334.9492,337.3132,1,2364,0.116076434,0.289937436,1,0,0,three_green_crosses,337.3134,338.3108,0,4,4,52,1,shape,images/4greenCrosses.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69309f7da595fb656eebdeb1,48,6aa09bb296af1050f055ee3b,2026-09-10_15h33.24.115,Reading the Room,2026.1.3,Linux x86_64,60.24096386,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,338.3118,340.9108,1,2598,-0.139899134,0.220877103,1,0,0,two_yellow_triangles,340.9118,341.9073,0,5,5,3,1,shape,images/1blueTriangle.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69309f7da595fb656eebdeb1,48,6aa09bb296af1050f055ee3b,2026-09-10_15h33.24.115,Reading the Room,2026.1.3,Linux x86_64,60.24096386,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,341.9082,345.2245,1,3316,0.159666047,0.235796865,1,0,0,three_green_crosses,345.225,346.2201,0,6,6,48,1,shape,images/4blueCrosses.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69309f7da595fb656eebdeb1,48,6aa09bb296af1050f055ee3b,2026-09-10_15h33.24.115,Reading the Room,2026.1.3,Linux x86_64,60.24096386,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,1,128:192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
