Participant_Info_Consent.block_1/Consent,participant,session,STUDY_ID,date,expName,psychopyVersion,OS,frameRate,dissent.started,dissent.stopped,Exclusion_Criteria_1.block_1/Mental_health_conditions,exclusion.started,exclusion.stopped,GroupAllocation.started,GroupAllocation.stopped,group,survey_demographics_IU.block_1/Sex,survey_demographics_IU.block_1/Age,survey_demographics_IU.block_1/Education,survey_demographics_IU.block_1/Ethnicity,survey_demographics_IU.block_1/Politics,survey_demographics_IU.block_1/IU_scale.q1,survey_demographics_IU.block_1/IU_scale.q2,survey_demographics_IU.block_1/IU_scale.q3,survey_demographics_IU.block_1/IU_scale.q4,survey_demographics_IU.block_1/IU_scale.q5,survey_demographics_IU.block_1/IU_scale.q6,survey_demographics_IU.block_1/IU_scale.q7,survey_demographics_IU.block_1/IU_scale.q8,survey_demographics_IU.block_1/IU_scale.q9,survey_demographics_IU.block_1/IU_scale.q10,survey_demographics_IU.block_1/IU_scale.q11,survey_demographics_IU.block_1/IU_scale.q12,Instructions.started,Instructions.stopped,Example.started,Example.stopped,Trials.started,Trials.stopped,Score,RT,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.clicked_name,Feedback.started,Feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,rule,card,corrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,useRows,Scenarios.block_1/Expert Panel,Scenarios.block_1/Team Tension,Scenarios.block_1/Networking Gaffe,Scenarios.block_1/Viral Oversight,Scenarios.block_1/question16,ProgressBar.started,ProgressBar.stopped,feedback_14.started,feedback_14.stopped,press_spacebar.keys,press_spacebar.rt,press_spacebar.duration,show_feedback_low.thisRepN,show_feedback_low.thisTrialN,show_feedback_low.thisN,show_feedback_low.thisIndex,show_feedback_low.ran,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_1,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_2,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_3,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_4,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_5,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_6,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_7,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_8,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_9,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_10,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_11,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_12,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_13,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_14,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_15,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_16,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_17,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_18,ETMS_survey_end.block_1/Feedback check.Q1,ETMS_survey_end.block_1/Feedback check.Q2,ETMS_survey_end.block_1/Feedback check.Q3,ETMS_survey_end.block_1/StudyPurpose,ETMS_survey_end.block_1/WereYouEvaluated,ETMS_survey_end.block_1/Feedback_interpretation,ETMS_survey_end.block_1/Suspicious,ETMS_survey_end.block_1/Disclosure,ETMS_survey_end.block_1/Data use,End.started,End.stopped
1,69918b5c47f7550961f1bcb0,6aa23bacf05fa2dc4275f93f,6aa09bb296af1050f055ee3b,2026-09-09_22h11.40.163,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69918b5c47f7550961f1bcb0,6aa23bacf05fa2dc4275f93f,6aa09bb296af1050f055ee3b,2026-09-09_22h11.40.163,Reading the Room,2026.1.3,Win32,59.52380952,30.6608,30.6735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69918b5c47f7550961f1bcb0,6aa23bacf05fa2dc4275f93f,6aa09bb296af1050f055ee3b,2026-09-09_22h11.40.163,Reading the Room,2026.1.3,Win32,59.52380952,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69918b5c47f7550961f1bcb0,6aa23bacf05fa2dc4275f93f,6aa09bb296af1050f055ee3b,2026-09-09_22h11.40.163,Reading the Room,2026.1.3,Win32,59.52380952,,,,35.2904,35.2922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69918b5c47f7550961f1bcb0,79,6aa09bb296af1050f055ee3b,2026-09-09_22h11.40.163,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,36.3139,36.314,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69918b5c47f7550961f1bcb0,79,6aa09bb296af1050f055ee3b,2026-09-09_22h11.40.163,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,2,41,5,5,5,2,3,3,1,3,3,3,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69918b5c47f7550961f1bcb0,79,6aa09bb296af1050f055ee3b,2026-09-09_22h11.40.163,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,120.4259,146.8997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69918b5c47f7550961f1bcb0,79,6aa09bb296af1050f055ee3b,2026-09-09_22h11.40.163,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,146.9,172.8492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69918b5c47f7550961f1bcb0,79,6aa09bb296af1050f055ee3b,2026-09-09_22h11.40.163,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,172.8857,175.3494,1,2463,-0.372222222,0.216666667,1,0,0,one_red_dot,175.3501,176.349,0,0,0,8,1,colour,images/1redCross.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69918b5c47f7550961f1bcb0,79,6aa09bb296af1050f055ee3b,2026-09-09_22h11.40.163,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,176.3501,178.1987,1,1848,0.165740741,0.256481481,1,0,0,three_green_crosses,178.1992,179.1978,0,1,1,21,1,colour,images/2greenDots.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69918b5c47f7550961f1bcb0,79,6aa09bb296af1050f055ee3b,2026-09-09_22h11.40.163,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,179.1992,180.9807,1,1782,0.365740741,0.237962963,1,0,0,four_blue_stars,180.9808,181.9826,0,2,2,32,1,colour,images/3blueCrosses.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69918b5c47f7550961f1bcb0,79,6aa09bb296af1050f055ee3b,2026-09-09_22h11.40.163,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,181.9834,184.0315,1,2048,-0.046296296,0.248148148,1,0,0,,184.0321,185.0322,0,3,3,30,1,colour,images/2yellowStars.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69918b5c47f7550961f1bcb0,79,6aa09bb296af1050f055ee3b,2026-09-09_22h11.40.163,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,185.0345,187.0648,1,2031,-0.365740741,0.197222222,1,0,0,one_red_dot,187.0656,188.0656,0,4,4,56,1,colour,images/4redCrosses.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69918b5c47f7550961f1bcb0,79,6aa09bb296af1050f055ee3b,2026-09-09_22h11.40.163,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,188.0666,189.898,1,1831,0.117592593,0.212962963,1,0,0,three_green_crosses,189.8984,190.8986,0,5,5,55,1,colour,images/4greenTriangles.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69918b5c47f7550961f1bcb0,79,6aa09bb296af1050f055ee3b,2026-09-09_22h11.40.163,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,190.9006,192.6484,1,1748,-0.118518519,0.200925926,1,0,0,two_yellow_triangles,192.6487,193.6487,0,6,6,14,1,colour,images/1yellowStar.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69918b5c47f7550961f1bcb0,79,6aa09bb296af1050f055ee3b,2026-09-09_22h11.40.163,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0:64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69918b5c47f7550961f1bcb0,79,6aa09bb296af1050f055ee3b,2026-09-09_22h11.40.163,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,193.6605,195.4659,0,1805,0.362962963,0.22962963,1,0,0,four_blue_stars,195.4674,196.4651,0,0,0,35,1,number,images/3blueTriangles.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69918b5c47f7550961f1bcb0,79,6aa09bb296af1050f055ee3b,2026-09-09_22h11.40.163,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,196.467,199.0659,1,2599,0.35,0.221296296,1,0,0,four_blue_stars,199.0674,200.0647,0,1,1,63,1,number,images/4yellowTriangles.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69918b5c47f7550961f1bcb0,79,6aa09bb296af1050f055ee3b,2026-09-09_22h11.40.163,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,200.0655,202.0149,1,1950,-0.099074074,0.197222222,1,0,0,two_yellow_triangles,202.0157,203.0161,0,2,2,31,1,number,images/2yellowTriangles.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69918b5c47f7550961f1bcb0,79,6aa09bb296af1050f055ee3b,2026-09-09_22h11.40.163,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,203.017,204.8483,1,1831,-0.128703704,0.228703704,1,0,0,two_yellow_triangles,204.8492,205.8485,0,3,3,28,1,number,images/2yellowCrosses.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69918b5c47f7550961f1bcb0,79,6aa09bb296af1050f055ee3b,2026-09-09_22h11.40.163,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,205.85,208.2655,1,2416,-0.175,0.218518519,1,0,0,two_yellow_triangles,208.2656,209.266,0,4,4,26,1,number,images/2redStars.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69918b5c47f7550961f1bcb0,79,6aa09bb296af1050f055ee3b,2026-09-09_22h11.40.163,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,209.267,211.3155,1,2048,0.372222222,0.201851852,1,0,0,four_blue_stars,211.3159,212.315,0,5,5,50,1,number,images/4blueStars.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69918b5c47f7550961f1bcb0,79,6aa09bb296af1050f055ee3b,2026-09-09_22h11.40.163,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,212.3176,214.3655,1,2048,0.083333333,0.221296296,1,0,0,three_green_crosses,214.3659,215.366,0,6,6,38,1,number,images/3greenStars.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69918b5c47f7550961f1bcb0,79,6aa09bb296af1050f055ee3b,2026-09-09_22h11.40.163,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,64:128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69918b5c47f7550961f1bcb0,79,6aa09bb296af1050f055ee3b,2026-09-09_22h11.40.163,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,215.376,217.2323,1,1856,0.109259259,0.22962963,1,0,0,three_green_crosses,217.2327,218.2315,0,0,0,36,1,shape,images/3greenCrosses.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69918b5c47f7550961f1bcb0,79,6aa09bb296af1050f055ee3b,2026-09-09_22h11.40.163,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,218.2332,220.2984,0,2065,0.351851852,0.233333333,1,0,0,four_blue_stars,220.2996,221.298,0,1,1,49,1,shape,images/4blueDots.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69918b5c47f7550961f1bcb0,79,6aa09bb296af1050f055ee3b,2026-09-09_22h11.40.163,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,221.2999,223.4334,1,2134,-0.344444444,0.209259259,1,0,0,one_red_dot,223.4341,224.4321,0,2,2,29,1,shape,images/2yellowDots.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69918b5c47f7550961f1bcb0,79,6aa09bb296af1050f055ee3b,2026-09-09_22h11.40.163,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,224.4336,226.5318,1,2099,0.355555556,0.24537037,1,0,0,four_blue_stars,226.5321,227.5316,0,3,3,22,1,shape,images/2greenStars.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69918b5c47f7550961f1bcb0,79,6aa09bb296af1050f055ee3b,2026-09-09_22h11.40.163,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,227.5332,230.0153,1,2482,0.112037037,0.223148148,1,0,0,three_green_crosses,230.0157,231.0158,0,4,4,24,1,shape,images/2redCrosses.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69918b5c47f7550961f1bcb0,79,6aa09bb296af1050f055ee3b,2026-09-09_22h11.40.163,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,231.017,233.3491,1,2332,0.434259259,0.241666667,1,0,0,four_blue_stars,233.3494,234.349,0,5,5,62,1,shape,images/4yellowStars.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69918b5c47f7550961f1bcb0,79,6aa09bb296af1050f055ee3b,2026-09-09_22h11.40.163,Reading the Room,2026.1.3,Win32,59.52380952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,234.3499,236.3822,1,2032,0.377777778,0.240740741,1,0,0,four_blue_stars,236.3825,237.3823,0,6,6,14,1,shape,images/1yellowStar.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
