Participant_Info_Consent.block_1/Consent,participant,session,STUDY_ID,date,expName,psychopyVersion,OS,frameRate,dissent.started,dissent.stopped,Exclusion_Criteria_1.block_1/Mental_health_conditions,exclusion.started,exclusion.stopped,GroupAllocation.started,GroupAllocation.stopped,group,survey_demographics_IU.block_1/Sex,survey_demographics_IU.block_1/Age,survey_demographics_IU.block_1/Education,survey_demographics_IU.block_1/Ethnicity,survey_demographics_IU.block_1/Politics,survey_demographics_IU.block_1/IU_scale.q1,survey_demographics_IU.block_1/IU_scale.q2,survey_demographics_IU.block_1/IU_scale.q3,survey_demographics_IU.block_1/IU_scale.q4,survey_demographics_IU.block_1/IU_scale.q5,survey_demographics_IU.block_1/IU_scale.q6,survey_demographics_IU.block_1/IU_scale.q7,survey_demographics_IU.block_1/IU_scale.q8,survey_demographics_IU.block_1/IU_scale.q9,survey_demographics_IU.block_1/IU_scale.q10,survey_demographics_IU.block_1/IU_scale.q11,survey_demographics_IU.block_1/IU_scale.q12,Instructions.started,Instructions.stopped,Example.started,Example.stopped,Trials.started,Trials.stopped,Score,RT,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.clicked_name,Feedback.started,Feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,rule,card,corrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,useRows,Scenarios.block_1/Expert Panel,Scenarios.block_1/Team Tension,Scenarios.block_1/Networking Gaffe,Scenarios.block_1/Viral Oversight,Scenarios.block_1/question16,ProgressBar.started,ProgressBar.stopped,feedback_14.started,feedback_14.stopped,press_spacebar.keys,press_spacebar.rt,press_spacebar.duration,show_feedback_low.thisRepN,show_feedback_low.thisTrialN,show_feedback_low.thisN,show_feedback_low.thisIndex,show_feedback_low.ran,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_1,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_2,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_3,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_4,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_5,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_6,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_7,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_8,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_9,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_10,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_11,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_12,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_13,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_14,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_15,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_16,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_17,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_18,ETMS_survey_end.block_1/Feedback check.Q1,ETMS_survey_end.block_1/Feedback check.Q2,ETMS_survey_end.block_1/Feedback check.Q3,ETMS_survey_end.block_1/StudyPurpose,ETMS_survey_end.block_1/WereYouEvaluated,ETMS_survey_end.block_1/Feedback_interpretation,ETMS_survey_end.block_1/Suspicious,ETMS_survey_end.block_1/Disclosure,ETMS_survey_end.block_1/Data use,End.started,End.stopped
1,69f55dd1a25b4a11bcc13cad,6aa2136dc695fd6d01dd650e,6aa09bb296af1050f055ee3b,2026-09-10_14h40.32.491,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69f55dd1a25b4a11bcc13cad,6aa2136dc695fd6d01dd650e,6aa09bb296af1050f055ee3b,2026-09-10_14h40.32.491,Reading the Room,2026.1.3,Win32,59.88023952,5.1624,5.1746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69f55dd1a25b4a11bcc13cad,6aa2136dc695fd6d01dd650e,6aa09bb296af1050f055ee3b,2026-09-10_14h40.32.491,Reading the Room,2026.1.3,Win32,59.88023952,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69f55dd1a25b4a11bcc13cad,6aa2136dc695fd6d01dd650e,6aa09bb296af1050f055ee3b,2026-09-10_14h40.32.491,Reading the Room,2026.1.3,Win32,59.88023952,,,,8.004799999,8.006699999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69f55dd1a25b4a11bcc13cad,28,6aa09bb296af1050f055ee3b,2026-09-10_14h40.32.491,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,8.838199999,8.8386,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69f55dd1a25b4a11bcc13cad,28,6aa09bb296af1050f055ee3b,2026-09-10_14h40.32.491,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,1,1,27,2,2,2,1,3,2,1,2,2,3,1,0,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69f55dd1a25b4a11bcc13cad,28,6aa09bb296af1050f055ee3b,2026-09-10_14h40.32.491,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,1,,,,,,,,,,,,,,,,,,64.2786,66.3233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69f55dd1a25b4a11bcc13cad,28,6aa09bb296af1050f055ee3b,2026-09-10_14h40.32.491,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,66.3234,68.9623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69f55dd1a25b4a11bcc13cad,28,6aa09bb296af1050f055ee3b,2026-09-10_14h40.32.491,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,69.006,71.0607,0,2054,-0.075925869,0.216666667,1,0,0,two_yellow_triangles,71.0622,72.0607,0,0,0,16,1,colour,images/2blueCrosses.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69f55dd1a25b4a11bcc13cad,28,6aa09bb296af1050f055ee3b,2026-09-10_14h40.32.491,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,72.0649,74.3587,1,2295,-0.348148134,0.235185178,1,0,0,one_red_dot,74.3635,75.361,0,1,1,42,1,colour,images/3redStars.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69f55dd1a25b4a11bcc13cad,28,6aa09bb296af1050f055ee3b,2026-09-10_14h40.32.491,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,75.365,78.0222,1,2658,-0.112962935,0.196296289,1,0,0,two_yellow_triangles,78.0226,79.0201,0,2,2,61,1,colour,images/4yellowDots.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69f55dd1a25b4a11bcc13cad,28,6aa09bb296af1050f055ee3b,2026-09-10_14h40.32.491,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,79.0234,81.1512,1,2129,-0.158333333,0.2074074,1,0,0,two_yellow_triangles,81.1516,82.1508,0,3,3,14,1,colour,images/1yellowStar.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69f55dd1a25b4a11bcc13cad,28,6aa09bb296af1050f055ee3b,2026-09-10_14h40.32.491,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,82.1568,84.1815,1,2028,0.071296353,0.169444444,1,0,0,three_green_crosses,84.1818,85.1814,0,4,4,37,1,colour,images/3greenDots.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69f55dd1a25b4a11bcc13cad,28,6aa09bb296af1050f055ee3b,2026-09-10_14h40.32.491,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,85.1857,86.9885,0,1805,-0.364814801,0.210185178,1,0,0,one_red_dot,86.9898,87.9841,0,5,5,17,1,colour,images/2blueDots.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69f55dd1a25b4a11bcc13cad,28,6aa09bb296af1050f055ee3b,2026-09-10_14h40.32.491,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,87.9851,89.8383,1,1854,0.100925954,0.22870369,1,0,0,three_green_crosses,89.8396,90.8311,0,6,6,38,1,colour,images/3greenStars.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69f55dd1a25b4a11bcc13cad,28,6aa09bb296af1050f055ee3b,2026-09-10_14h40.32.491,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0:64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69f55dd1a25b4a11bcc13cad,28,6aa09bb296af1050f055ee3b,2026-09-10_14h40.32.491,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,90.8503,92.7561,0,1906,-0.382407379,0.191666667,1,0,0,one_red_dot,92.757,93.7552,0,0,0,25,1,number,images/2redDots.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69f55dd1a25b4a11bcc13cad,28,6aa09bb296af1050f055ee3b,2026-09-10_14h40.32.491,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,93.7565,95.6207,1,1864,-0.417592578,0.190740734,1,0,0,one_red_dot,95.6229,96.6203,0,1,1,0,1,number,images/1blueCross.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69f55dd1a25b4a11bcc13cad,28,6aa09bb296af1050f055ee3b,2026-09-10_14h40.32.491,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,96.6249,98.6929,1,2071,0.385185242,0.237962956,1,0,0,four_blue_stars,98.6931,99.6897,0,2,2,56,1,number,images/4redCrosses.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69f55dd1a25b4a11bcc13cad,28,6aa09bb296af1050f055ee3b,2026-09-10_14h40.32.491,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,99.6942,101.7032,0,2011,0.125,0.192592578,1,0,0,three_green_crosses,101.7044,102.7053,0,3,3,16,1,number,images/2blueCrosses.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69f55dd1a25b4a11bcc13cad,28,6aa09bb296af1050f055ee3b,2026-09-10_14h40.32.491,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,102.7064,104.8358,1,2130,-0.362962935,0.200925912,1,0,0,one_red_dot,104.8368,105.8348,0,4,4,8,1,number,images/1redCross.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69f55dd1a25b4a11bcc13cad,28,6aa09bb296af1050f055ee3b,2026-09-10_14h40.32.491,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,105.8388,108.2587,1,2422,0.140740797,0.202777778,1,0,0,three_green_crosses,108.259,109.2577,0,5,5,41,1,number,images/3redDots.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69f55dd1a25b4a11bcc13cad,28,6aa09bb296af1050f055ee3b,2026-09-10_14h40.32.491,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,109.2588,111.8812,1,2623,0.112963019,0.231481467,1,0,0,three_green_crosses,111.8817,112.8789,0,6,6,35,1,number,images/3blueTriangles.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69f55dd1a25b4a11bcc13cad,28,6aa09bb296af1050f055ee3b,2026-09-10_14h40.32.491,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,64:128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69f55dd1a25b4a11bcc13cad,28,6aa09bb296af1050f055ee3b,2026-09-10_14h40.32.491,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,112.9043,115.1933,0,2290,0.172222222,0.223148134,1,0,0,three_green_crosses,115.1944,116.193,0,0,0,42,1,shape,images/3redStars.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
