Participant_Info_Consent.block_1/Consent,participant,session,STUDY_ID,date,expName,psychopyVersion,OS,frameRate,dissent.started,dissent.stopped,Exclusion_Criteria_1.block_1/Mental_health_conditions,exclusion.started,exclusion.stopped,GroupAllocation.started,GroupAllocation.stopped,group,survey_demographics_IU.block_1/Sex,survey_demographics_IU.block_1/Age,survey_demographics_IU.block_1/Education,survey_demographics_IU.block_1/Ethnicity,survey_demographics_IU.block_1/Politics,survey_demographics_IU.block_1/IU_scale.q1,survey_demographics_IU.block_1/IU_scale.q2,survey_demographics_IU.block_1/IU_scale.q3,survey_demographics_IU.block_1/IU_scale.q4,survey_demographics_IU.block_1/IU_scale.q5,survey_demographics_IU.block_1/IU_scale.q6,survey_demographics_IU.block_1/IU_scale.q7,survey_demographics_IU.block_1/IU_scale.q8,survey_demographics_IU.block_1/IU_scale.q9,survey_demographics_IU.block_1/IU_scale.q10,survey_demographics_IU.block_1/IU_scale.q11,survey_demographics_IU.block_1/IU_scale.q12,Instructions.started,Instructions.stopped,Example.started,Example.stopped,Trials.started,Trials.stopped,Score,RT,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.clicked_name,Feedback.started,Feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,rule,card,corrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,useRows,Scenarios.block_1/Expert Panel,Scenarios.block_1/Team Tension,Scenarios.block_1/Networking Gaffe,Scenarios.block_1/Viral Oversight,Scenarios.block_1/question16,ProgressBar.started,ProgressBar.stopped,feedback_14.started,feedback_14.stopped,press_spacebar.keys,press_spacebar.rt,press_spacebar.duration,show_feedback_low.thisRepN,show_feedback_low.thisTrialN,show_feedback_low.thisN,show_feedback_low.thisIndex,show_feedback_low.ran,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_1,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_2,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_3,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_4,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_5,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_6,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_7,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_8,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_9,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_10,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_11,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_12,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_13,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_14,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_15,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_16,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_17,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_18,ETMS_survey_end.block_1/Feedback check.Q1,ETMS_survey_end.block_1/Feedback check.Q2,ETMS_survey_end.block_1/Feedback check.Q3,ETMS_survey_end.block_1/StudyPurpose,ETMS_survey_end.block_1/WereYouEvaluated,ETMS_survey_end.block_1/Feedback_interpretation,ETMS_survey_end.block_1/Suspicious,ETMS_survey_end.block_1/Disclosure,ETMS_survey_end.block_1/Data use,End.started,End.stopped
1,6a07e4791c832831b4bb0dcc,6aa2336ea497f772eedd64fe,6aa09bb296af1050f055ee3b,2026-09-10_12h53.43.014,Reading the Room,2026.1.3,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a07e4791c832831b4bb0dcc,6aa2336ea497f772eedd64fe,6aa09bb296af1050f055ee3b,2026-09-10_12h53.43.014,Reading the Room,2026.1.3,Win32,60.60606061,107.5042,107.5057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a07e4791c832831b4bb0dcc,6aa2336ea497f772eedd64fe,6aa09bb296af1050f055ee3b,2026-09-10_12h53.43.014,Reading the Room,2026.1.3,Win32,60.60606061,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a07e4791c832831b4bb0dcc,6aa2336ea497f772eedd64fe,6aa09bb296af1050f055ee3b,2026-09-10_12h53.43.014,Reading the Room,2026.1.3,Win32,60.60606061,,,,109.7983,109.7989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a07e4791c832831b4bb0dcc,72,6aa09bb296af1050f055ee3b,2026-09-10_12h53.43.014,Reading the Room,2026.1.3,Win32,60.60606061,,,,,,110.8144,110.8146,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a07e4791c832831b4bb0dcc,72,6aa09bb296af1050f055ee3b,2026-09-10_12h53.43.014,Reading the Room,2026.1.3,Win32,60.60606061,,,,,,,,1,2,40,3,4,3,1,2,2,1,2,1,2,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a07e4791c832831b4bb0dcc,72,6aa09bb296af1050f055ee3b,2026-09-10_12h53.43.014,Reading the Room,2026.1.3,Win32,60.60606061,,,,,,,,1,,,,,,,,,,,,,,,,,,205.6183,254.5652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a07e4791c832831b4bb0dcc,72,6aa09bb296af1050f055ee3b,2026-09-10_12h53.43.014,Reading the Room,2026.1.3,Win32,60.60606061,,,,,,,,1,,,,,,,,,,,,,,,,,,,,254.5653,260.0151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a07e4791c832831b4bb0dcc,72,6aa09bb296af1050f055ee3b,2026-09-10_12h53.43.014,Reading the Room,2026.1.3,Win32,60.60606061,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,260.0282,264.0985,1,4070,-0.127637131,0.23628692,1,0,0,two_yellow_triangles,264.099,265.0981,0,0,0,43,1,shape,images/3redTriangles.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a07e4791c832831b4bb0dcc,72,6aa09bb296af1050f055ee3b,2026-09-10_12h53.43.014,Reading the Room,2026.1.3,Win32,60.60606061,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,265.0989,267.0981,1,1999,-0.074894515,0.246835443,1,0,0,two_yellow_triangles,267.0983,268.0981,0,1,1,23,1,shape,images/2greenTriangles.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a07e4791c832831b4bb0dcc,72,6aa09bb296af1050f055ee3b,2026-09-10_12h53.43.014,Reading the Room,2026.1.3,Win32,60.60606061,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,268.0989,271.4815,1,3383,-0.318565401,0.242616034,1,0,0,one_red_dot,271.4816,272.4815,0,2,2,17,1,shape,images/2blueDots.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a07e4791c832831b4bb0dcc,72,6aa09bb296af1050f055ee3b,2026-09-10_12h53.43.014,Reading the Room,2026.1.3,Win32,60.60606061,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,272.4821,274.848,1,2366,-0.3407173,0.240506329,1,0,0,one_red_dot,274.8482,275.8479,0,3,3,57,1,shape,images/4redDots.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a07e4791c832831b4bb0dcc,72,6aa09bb296af1050f055ee3b,2026-09-10_12h53.43.014,Reading the Room,2026.1.3,Win32,60.60606061,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,275.8486,278.1315,1,2283,0.139240506,0.219409283,1,0,0,three_green_crosses,278.1316,279.1313,0,4,4,8,1,shape,images/1redCross.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a07e4791c832831b4bb0dcc,72,6aa09bb296af1050f055ee3b,2026-09-10_12h53.43.014,Reading the Room,2026.1.3,Win32,60.60606061,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,279.1318,281.7814,0,2650,0.424050633,0.25,1,0,0,four_blue_stars,281.7822,282.7814,0,5,5,51,1,shape,images/4blueTriangles.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a07e4791c832831b4bb0dcc,72,6aa09bb296af1050f055ee3b,2026-09-10_12h53.43.014,Reading the Room,2026.1.3,Win32,60.60606061,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,282.7822,285.2147,1,2433,0.410337553,0.257383966,1,0,0,four_blue_stars,285.2154,286.2146,0,6,6,14,1,shape,images/1yellowStar.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a07e4791c832831b4bb0dcc,72,6aa09bb296af1050f055ee3b,2026-09-10_12h53.43.014,Reading the Room,2026.1.3,Win32,60.60606061,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,1,128:192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a07e4791c832831b4bb0dcc,72,6aa09bb296af1050f055ee3b,2026-09-10_12h53.43.014,Reading the Room,2026.1.3,Win32,60.60606061,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,286.2208,289.1813,0,2960,-0.357594937,0.23628692,1,0,0,one_red_dot,289.1817,290.1813,0,0,0,41,1,number,images/3redDots.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a07e4791c832831b4bb0dcc,72,6aa09bb296af1050f055ee3b,2026-09-10_12h53.43.014,Reading the Room,2026.1.3,Win32,60.60606061,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,290.1817,292.2647,1,2083,-0.11814346,0.21835443,1,0,0,two_yellow_triangles,292.2653,293.2647,0,1,1,27,1,number,images/2redTriangles.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a07e4791c832831b4bb0dcc,72,6aa09bb296af1050f055ee3b,2026-09-10_12h53.43.014,Reading the Room,2026.1.3,Win32,60.60606061,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,293.2654,295.0818,1,1816,0.154008439,0.207805907,1,0,0,three_green_crosses,295.0819,296.0814,0,2,2,40,1,number,images/3redCrosses.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
