Participant_Info_Consent.block_1/Consent,participant,session,STUDY_ID,date,expName,psychopyVersion,OS,frameRate,dissent.started,dissent.stopped,Exclusion_Criteria_1.block_1/Mental_health_conditions,exclusion.started,exclusion.stopped,GroupAllocation.started,GroupAllocation.stopped,group,survey_demographics_IU.block_1/Sex,survey_demographics_IU.block_1/Age,survey_demographics_IU.block_1/Education,survey_demographics_IU.block_1/Ethnicity,survey_demographics_IU.block_1/Politics,survey_demographics_IU.block_1/IU_scale.q1,survey_demographics_IU.block_1/IU_scale.q2,survey_demographics_IU.block_1/IU_scale.q3,survey_demographics_IU.block_1/IU_scale.q4,survey_demographics_IU.block_1/IU_scale.q5,survey_demographics_IU.block_1/IU_scale.q6,survey_demographics_IU.block_1/IU_scale.q8,survey_demographics_IU.block_1/IU_scale.q7,survey_demographics_IU.block_1/IU_scale.q9,survey_demographics_IU.block_1/IU_scale.q10,survey_demographics_IU.block_1/IU_scale.q11,survey_demographics_IU.block_1/IU_scale.q12,Instructions.started,Instructions.stopped,Example.started,Example.stopped,Trials.started,Trials.stopped,Score,RT,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.clicked_name,Feedback.started,Feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,rule,card,corrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,useRows,Scenarios.block_1/Expert Panel,Scenarios.block_1/Team Tension,Scenarios.block_1/Networking Gaffe,Scenarios.block_1/Viral Oversight,Scenarios.block_1/question16,ProgressBar.started,ProgressBar.stopped,feedback_50.started,feedback_50.stopped,press_spacebar_2.keys,press_spacebar_2.rt,press_spacebar_2.duration,show_feeback_hi.thisRepN,show_feeback_hi.thisTrialN,show_feeback_hi.thisN,show_feeback_hi.thisIndex,show_feeback_hi.ran,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_1,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_2,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_3,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_4,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_5,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_6,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_7,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_8,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_9,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_10,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_11,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_12,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_13,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_14,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_15,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_16,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_17,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_18,ETMS_survey_end.block_1/Feedback check.Q1,ETMS_survey_end.block_1/Feedback check.Q2,ETMS_survey_end.block_1/Feedback check.Q3,ETMS_survey_end.block_1/StudyPurpose,ETMS_survey_end.block_1/WereYouEvaluated,ETMS_survey_end.block_1/Feedback_interpretation,ETMS_survey_end.block_1/Suspicious,ETMS_survey_end.block_1/Disclosure,ETMS_survey_end.block_1/Data use,End.started,End.stopped
1,6a1a3e0dc3193b49a907e232,6aa230fb625c7c0992f64d6d,6aa09bb296af1050f055ee3b,2026-09-10_14h25.21.735,Reading the Room,2026.1.3,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a1a3e0dc3193b49a907e232,6aa230fb625c7c0992f64d6d,6aa09bb296af1050f055ee3b,2026-09-10_14h25.21.735,Reading the Room,2026.1.3,MacIntel,62.89308176,13.7689,13.7785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a1a3e0dc3193b49a907e232,6aa230fb625c7c0992f64d6d,6aa09bb296af1050f055ee3b,2026-09-10_14h25.21.735,Reading the Room,2026.1.3,MacIntel,62.89308176,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a1a3e0dc3193b49a907e232,6aa230fb625c7c0992f64d6d,6aa09bb296af1050f055ee3b,2026-09-10_14h25.21.735,Reading the Room,2026.1.3,MacIntel,62.89308176,,,,19.1582,19.1634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a1a3e0dc3193b49a907e232,63,6aa09bb296af1050f055ee3b,2026-09-10_14h25.21.735,Reading the Room,2026.1.3,MacIntel,62.89308176,,,,,,20.0118,20.0119,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a1a3e0dc3193b49a907e232,63,6aa09bb296af1050f055ee3b,2026-09-10_14h25.21.735,Reading the Room,2026.1.3,MacIntel,62.89308176,,,,,,,,2,1,32,4,5,6,1,2,3,2,3,2,0,2,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a1a3e0dc3193b49a907e232,63,6aa09bb296af1050f055ee3b,2026-09-10_14h25.21.735,Reading the Room,2026.1.3,MacIntel,62.89308176,,,,,,,,2,,,,,,,,,,,,,,,,,,122.9014,132.7373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a1a3e0dc3193b49a907e232,63,6aa09bb296af1050f055ee3b,2026-09-10_14h25.21.735,Reading the Room,2026.1.3,MacIntel,62.89308176,,,,,,,,2,,,,,,,,,,,,,,,,,,,,132.7374,145.6929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a1a3e0dc3193b49a907e232,63,6aa09bb296af1050f055ee3b,2026-09-10_14h25.21.735,Reading the Room,2026.1.3,MacIntel,62.89308176,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,145.7307,148.545,0,2814,-0.124244737,0.263468393,1,0,0,two_yellow_triangles,148.5459,149.5447,0,0,0,47,1,number,images/3yellowTriangles.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6a1a3e0dc3193b49a907e232,63,6aa09bb296af1050f055ee3b,2026-09-10_14h25.21.735,Reading the Room,2026.1.3,MacIntel,62.89308176,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,149.5456,152.297,1,2752,-0.124244737,0.227667246,1,0,0,two_yellow_triangles,152.2975,153.2971,0,1,1,26,1,number,images/2redStars.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
