Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age_Prolific,Sex_Prolific,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,processing_order,consent,illness,group,age,sex,education,ethnicity,politics,prop_correct_WCST,mean_RT_WCST,median_RT_WCST,study_purpose,evaluated,interpretation,suspicious,disclosure,data_use,IU_scale.q1,IU_scale.q2,IU_scale.q3,IU_scale.q4,IU_scale.q5,IU_scale.q6,IU_scale.q7,IU_scale.q8,IU_scale.q9,IU_scale.q10,IU_scale.q11,IU_scale.q12,ETMS_1,ETMS_2,ETMS_3,ETMS_4,ETMS_5,ETMS_6,ETMS_7,ETMS_8,ETMS_9,ETMS_10,ETMS_11,ETMS_12,ETMS_13,ETMS_14,ETMS_15,ETMS_16,ETMS_17,ETMS_18,Q1,Q2,Q3
5bdc076eee652a0001efcc39,APPROVED,08:24.2,31:50.5,31:58.8,32:51.3,1407,C14NST0J,434,27,Female,White,Australia,Australia,Australia,English,No,Unemployed (and job seeking),29,1,0,2,27,1,1,4,5,0.492063492,3552.777778,2765,A social intelligence test to see how people make choices when under pressure by their peers.,"Somewhat, I felt a little shame when my performance wasn't that great.",A little ashamed but then I remembered this doesn't affect me really so I don't care.,"Don't feel strongly about it really, don't care.",1,1,4,3,3,3,4,4,4,3,4,4,4,4,7,7,5,3,6,7,5,5,6,1,7,5,4,7,3,2,3,6,4,5,2
5c2d3ba4731cd10001b647d7,AWAITING REVIEW,47:52.7,01:58.7,NA,02:59.5,846,C14NST0J,4717,43,Male,Asian,Canada,Canada,Canada,English,No,Full-Time,30,1,0,1,43,2,4,5,3,0.761904762,2276.603175,2050,perceptions and ways to deal with situations and what people think about your behavior in those situations,"yes, even though it was self reflective","with a grain of salt, i am who i am and will adapt or be made aware accordingly","i think i performed higher than average personally so i don't trust it but respect the algorithm or whatever it is, doesn't mean i have to agree with it though",3,1,2,2,2,3,2,2,3,2,1,1,1,1,6,7,7,4,7,7,7,6,6,5,7,7,7,7,7,7,3,6,7,7,7
5ce10396c266e3001c8f7b9e,APPROVED,47:22.4,08:18.0,08:28.9,09:18.7,1256,C14NST0J,637,49,Female,White,Australia,Australia,Australia,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",31,1,0,1,46,1,3,6,4,0.793650794,2328.031746,2062,HOW I INTERPET SOCIAL QUEUES AND MY RESPONSE TO THEM,YES,I WAS DISAPPOINTED TO BE HONEST I THOUGHT THAT I WOULD RATE HIGHER,NO,1,1,1,2,2,2,3,4,4,4,3,3,3,3,2,6,6,2,5,5,6,3,6,3,6,5,6,6,6,5,6,5,6,6,6
5d195448e47637001cf4fb43,APPROVED,13:17.7,27:54.3,42:09.3,28:55.0,877,C14NST0J,878,79,Male,White,United Kingdom,Australia,Australia,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",32,1,0,2,79,2,4,4,5,0.53968254,3427.380952,3043,Social intelligence,No,Probably correct,"No, I was prepared to believe my performance was average",3,1,0,2,3,3,2,0,3,0,0,0,0,0,5,3,1,1,7,7,2,1,3,1,7,7,1,7,1,1,1,1,3,2,2
5d2dd9b5a248bd0018a0d787,APPROVED,35:16.0,01:39.9,01:49.1,02:40.6,1584,C14NST0J,1060,82,Male,White,Australia,Australia,Australia,English,No,Part-Time,33,1,0,2,52,2,3,other,4,0.53968254,2510.253968,2351,Social reactions,yes,I'm not very good with social situations,no,3,1,1,2,3,1,2,3,3,0,0,0,1,1,2,6,3,1,3,4,5,4,2,3,5,6,2,5,1,4,2,5,6,6,7
5d352f8bb02857001963539a,APPROVED,48:57.8,12:34.8,12:44.9,13:35.6,1417,C14NST0J,5653,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,27,1,0,1,26,5,4,4,2,0.761904762,2077.079365,1933,I think this study was testing people's social skills and social intelligence.,"Yes, when I was doing the social situational judgement questions I felt like my social skills were being evaluated.",I felt like the feedback was very negative and it reinforces my own fears that I do not have very good social skills.,No,3,1,3,4,2,4,2,1,2,4,4,4,4,3,5,6,7,2,5,4,5,6,3,2,6,4,4,2,5,6,4,6,7,7,7
5d5f9c75ca10e90001bc020a,APPROVED,48:34.3,15:36.2,15:38.9,16:37.0,1622,C14NST0J,2844,47,Female,White,Russian Federation,Australia,Australia,English,Yes,Part-Time,34,1,0,1,45,1,4,6,4,0.523809524,2389.650794,2116,"study about two test, one Wisconsin test of recognise the figures by colours, shapes and numbers with ambigious instruction. Othe was some social test, to predict my ""future"" social interactions. I have no idea about the meaning this study for researchers.","No, I don't think the evaluation has been made exactly for me. I guess, this message received every participant of the study.","I didn't at all. I know myself better, than tests and it is not useful for me.","Yes, I think the same feedback has been provided to any participant.",1,1,2,2,3,1,0,3,2,1,0,2,0,1,3,5,5,1,4,5,6,3,2,1,5,5,3,5,3,5,2,5,6,1,1
5d60c4bfc253680017cf4c17,APPROVED,02:58.0,23:56.7,23:58.9,24:57.6,1259,C14NST0J,1539,56,Female,Asian,Philippines,Australia,Australia,English,No,Part-Time,35,1,0,1,56,1,4,11,4,0.619047619,2789.571429,2467,How people respond to social situations under pressure.,Yes I think so,I think it is an honest feedback based on my answers.,I trust that it is based on the performance. The test was timed and me as a participant need to read fast and select as fast as possible.,3,1,2,3,4,3,2,3,3,4,1,3,2,2,5,5,6,3,6,5,5,4,3,3,5,5,5,5,3,5,4,4,6,3,6
5d75dff2b0b21000167a7336,APPROVED,53:43.2,21:11.1,21:18.5,22:12.1,1648,C14NST0J,1175,89,Male,White,Australia,Australia,Australia,English,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)",36,1,0,2,89,2,5,4,2,0.619047619,4154.507937,3062,Personal characteristics and relative competence in social situations,Yes,I thought I would have been in a higher percentile.,"No, I accept the decisions.",2,1,1,3,1,3,1,2,3,0,0,0,0,1,1,2,6,3,5,3,3,1,1,1,1,3,2,2,4,2,2,3,5,4,4
5d887b1cc004480001269f15,APPROVED,09:02.9,37:07.5,37:08.9,38:08.2,1685,C14NST0J,1319,28,Male,Asian,Australia,Australia,Australia,English,No,Part-Time,37,1,0,2,28,2,4,12,6,0.634920635,2146.904762,1908,Someone's social awareness and emotional intelligence and behavioural habits,The social intelligence questions,I felt like I was interpretted negatively despite demonstrating that everyone will have a different style or value or philosophy,No,3,1,3,3,3,3,1,1,2,2,2,2,2,2,3,6,6,4,5,6,5,3,5,5,6,5,5,4,6,4,5,5,5,5,6
